"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"ACNARB",33838,3944,9062,14702,14320,10376
"ADEPAV",10548,2329,3966,3392,3729,1400
"ADERIC",16534,1698,4353,3859,4539,2841
"AIPMIN",37211,5928,11762,15599,15822,9894
"ALBLEB",10394,594,2025,3621,3634,3040
"ALBPRO",15788,1188,2585,4748,4810,3622
"ALCLAT",16364,2794,6369,9976,9319,6525
"ALLCRA",20617,3928,7507,11324,11603,7675
"ALLRAC",7543,2517,4004,3360,3791,1274
"ALSBRY",2213,1028,1435,1790,1668,640
"ALSPOR",15780,2156,5326,9984,9372,7216
"AMYELE",8611,2768,4442,3819,4316,1548
"ANAPER",34397,4279,9477,15134,14762,10483
"ANDINE",23538,3048,7266,10919,10896,7848
"ANNGLA",26410,3719,7069,8139,8830,5111
"ANNMON",10235,1033,2225,4303,4522,3489
"ARDELL",27399,5126,10464,14601,14608,9482
"ARDGLA",5284,930,2368,3054,2705,1775
"ARDOBO",14284,2937,4786,4068,4539,1602
"ARTALT",12866,1005,3557,6445,6547,5542
"AVIGER",20428,1510,3560,5205,5515,4005
"BADPEN",2831,681,1072,1768,1772,1091
"BIXORE",41381,6461,13066,18062,18111,11650
"BOCFRU",33838,3944,9062,14702,14320,10376
"BONUMB",4076,971,1610,1422,1596,625
"BOUSUC",19311,2463,5207,4453,5251,2788
"BOUVIR",12924,2860,4643,3906,4484,1624
"BRUAME",41940,6796,13481,18494,18553,11757
"BRUDEN",20415,2944,6875,11673,11259,8315
"BRULAC",639,469,542,595,559,90
"BUCBUC",32583,4397,9325,11941,12677,8280
"BUCTET",17365,3184,6868,11100,10456,7272
"BUNGLA",13559,1450,3047,4086,4577,3127
"BURSIM",16415,2380,4087,3112,3769,1389
"BUXPOR",12272,3385,5723,6255,6522,3137
"BUXVAH",37905,5956,11834,15700,15971,10015
"BYRCRA",6374,588,1005,2705,2792,2204
"BYRLUC",12377,1577,2896,4473,4828,3251
"BYRSPI",10536,889,2739,3524,3105,2216
"BYRWAD",4851,1512,2337,3484,3154,1642
"CALANT",21307,3319,6752,7164,7122,3803
"CALKRU",3574,1416,2129,2625,2425,1009
"CALPAL",10064,1139,1949,1512,1768,629
"CANWIN",10938,1125,2873,2854,3472,2347
"CAPFRO",3649,344,573,393,557,213
"CASACU",24652,3223,6184,7054,7756,4533
"CASARB",13862,2352,5031,8476,7714,5362
"CASDEC",22063,3134,7230,7792,7793,4659
"CASELA",42075,6489,13138,18163,18260,11771
"CASEQU",10371,1137,1713,1430,1656,519
"CASGUI",23460,3227,7618,8493,8577,5350
"CASSYL",26512,4715,9980,15635,15153,10438
"CECSCH",18900,3169,6769,12535,11874,8705
"CEDODO",41940,6796,13481,18494,18553,11757
"CEIPEN",25791,3283,6431,7692,8336,5053
"CELTRI",3864,585,1153,1001,1274,689
"CESCIT",32128,5994,12183,17496,17339,11345
"CESLAU",25497,4194,9383,13320,13246,9052
"CESMAC",16644,3845,6872,10578,9972,6127
"CHICOM",15523,2649,5299,5403,5327,2678
"CHIDOM",18183,4254,8065,10119,9898,5644
"CHIHOL",2409,681,1132,951,1082,401
"CHIVEN",19349,3171,6533,7100,6916,3745
"CHRARG",20647,3388,7124,7749,7660,4272
"CHRCAI",37211,5928,11762,15599,15822,9894
"CHRICA",10852,920,1539,2598,2613,1693
"CHROLI",14591,1378,2673,3461,3753,2375
"CHRPAU",16559,1660,4019,5931,6266,4606
"CINELO",26008,4089,9208,14423,14087,9998
"CINMON",19325,3424,7834,10096,9903,6479
"CITCAU",6541,1564,3216,4081,3746,2182
"CITSIN",10341,1515,3975,6597,6232,4717
"CITSPI",25174,3066,7630,9332,9607,6541
"CLIEGG",10229,1922,4243,6990,6473,4551
"CLIERO",1466,885,1091,1275,1217,332
"CLIHIR",34532,3972,9134,14803,14469,10497
"CLUCLU",5349,1252,2183,3396,3228,1976
"CLUGUN",10226,2296,4459,7186,6616,4320
"CLUMIN",22894,4223,7103,7374,7902,3679
"CLUROS",13384,2874,4473,4009,4453,1579
"COCCOS",6087,2079,3325,2853,3209,1130
"COCDIV",18165,3355,5384,4479,5171,1816
"COCKRU",3634,654,1061,796,963,309
"COCMIC",5286,954,1716,1615,1839,885
"COCPUB",11373,2903,4978,5018,5442,2539
"COCPYR",4633,1842,2612,3462,3245,1403
"COCRUG",12265,1586,4532,6003,5512,3926
"COCSIN",559,335,415,432,442,107
"COCSWA",12535,2325,5083,8209,7773,5448
"COCUVI",37211,5928,11762,15599,15822,9894
"COCVEN",24360,3318,7491,7677,8299,4981
"COFARA",20481,2520,6191,11437,11209,8689
"COJARB",17914,3654,5717,4790,5447,1793
"COLARB",9757,2254,3589,3153,3613,1359
"COLELL",3755,543,843,517,684,141
"COLVER",5653,910,1966,1949,2282,1372
"COMDOD",5826,862,1504,1094,1379,517
"COMGLA",4476,1830,2852,2452,2745,915
"CONERE",16080,1852,3367,4198,4677,2825
"CORALL",20807,2331,6094,11137,10813,8482
"CORBOR",14950,2375,5740,8688,7941,5566
"CORCOL",14162,955,3040,5148,5557,4602
"CORHIR",6955,824,1385,992,1290,466
"CORLAE",32024,4385,9105,11495,12138,7753
"COROBO",37211,5928,11762,15599,15822,9894
"CORRIC",21049,2531,4966,6049,6686,4155
"CORSUL",14668,1966,4642,9048,8331,6365
"CRECUJ",21394,3303,5678,6088,6744,3441
"CRELIN",7531,846,1548,1474,1747,901
"CREPOR",10487,1145,1723,1450,1673,528
"CRIPOR",27958,5461,10879,15033,15050,9589
"CROAST",5547,762,1655,1673,2024,1262
"CROBET",14257,1599,3124,2895,3534,1935
"CRODIS",5043,705,1225,897,1122,417
"CROFLA",8893,1195,2502,1829,2349,1154
"CROGLA",4959,743,1207,798,1039,296
"CROIMP",6988,1011,1967,4036,4062,3051
"CROPOE",914,590,786,844,802,212
"CRORHA",3468,642,1114,780,950,308
"CSSGUI",18644,3927,8048,10854,10310,6383
"CUPAME",26833,3890,8075,11778,11860,7970
"CYAARB",14895,2579,5889,9958,9324,6745
"CYABOR",32128,5994,12183,17496,17339,11345
"CYNFLE",12773,1861,3034,2391,2821,960
"CYNHAS",8058,908,1866,1415,1895,987
"CYNPOR",12996,2109,3464,2734,3222,1113
"CYRRAC",855,718,799,833,822,104
"DACEXC",11829,2072,4276,6835,6196,4124
"DAPAME",5550,1140,2212,3790,3413,2273
"DAPHEL",9904,2025,3124,2473,2835,810
"DAPPHI",11597,2426,4685,8010,7352,4926
"DELREG",30227,3746,8173,12671,12473,8727
"DENARB",22628,4449,8591,13916,13370,8921
"DENLAU",12834,1905,4705,7617,7231,5326
"DIOSIN",8218,2860,4429,3812,4250,1390
"DITMYR",1906,800,1152,1472,1270,470
"DRYALB",12030,3259,5564,6020,6322,3063
"DRYGLA",3440,1501,2157,2588,2399,898
"DRYILI",13403,2722,4395,3688,4163,1441
"ELAXYL",16056,2202,3833,3699,4136,1934
"ERIFRU",12258,1712,2858,2283,2689,977
"ERYARE",4761,683,1117,713,936,253
"ERYBER",34397,4279,9477,15134,14762,10483
"ERYBRE",16643,1840,3553,2724,3260,1420
"ERYPOE",24581,3735,7123,11890,11893,8158
"ERYROT",12104,1299,2547,2216,2754,1455
"ERYRUF",10371,1137,1713,1430,1656,519
"ERYURB",18030,3662,5727,4810,5464,1802
"EUGAXI",7156,890,1712,1353,1688,798
"EUGBIF",26923,3596,8408,9510,9860,6264
"EUGBOR",6049,1369,2844,3540,3168,1799
"EUGCON",559,335,415,432,442,107
"EUGCOR",13242,1068,2868,6058,6188,5120
"EUGDOM",21153,3458,7304,7913,7713,4255
"EUGEGG",9890,2095,4205,6875,6310,4215
"EUGFOE",13728,2191,3625,2860,3399,1208
"EUGLIG",15039,1934,3338,2859,3420,1486
"EUGMON",29160,4289,9784,10670,11160,6871
"EUGPAD",8218,2860,4429,3812,4250,1390
"EUGPSE",19863,2926,6108,6131,6277,3351
"EUGRHO",17257,1781,4518,6426,6960,5179
"EUGSTA",8069,1986,3509,5753,5183,3197
"EUGSTE",24585,3477,8179,14136,13548,10071
"EUGWOO",2799,574,917,700,852,278
"EUPPET",7098,830,1567,1163,1549,719
"EXOCAR",7343,916,1857,1338,1801,885
"EXOPAN",12271,2488,4590,4059,4353,1865
"FAROCC",20981,3372,7341,8111,8075,4703
"FICAME",16355,3171,6871,9466,8869,5698
"FICCIT",33555,4597,10071,12386,12855,8258
"FICCRA",37211,5928,11762,15599,15822,9894
"FICTRI",33838,3944,9062,14702,14320,10376
"FORSEG",3128,493,743,450,613,120
"GARHES",3322,557,1151,1699,1712,1155
"GARPOR",8813,1036,3138,4069,3702,2666
"GAUATT",13158,1000,1737,2533,2797,1797
"GENAME",22010,2473,6449,8315,8041,5568
"GESPED",16273,3025,5750,9093,9148,6123
"GOEELE",9098,1657,3902,4041,4000,2343
"GOMLIN",9157,1532,3611,6121,5681,4149
"GONHIR",25085,5040,9716,15081,14442,9402
"GONPOR",720,530,621,671,637,107
"GOSHIR",7365,653,1249,1204,1515,862
"GUABLA",8721,2050,3581,6372,6114,4064
"GUACAR",1095,530,703,810,765,235
"GUAFRA",26532,3659,8642,9373,9563,5904
"GUAGLA",7358,1917,3217,5195,4661,2744
"GUAGUI",26712,4183,9472,15287,14939,10756
"GUAOBT",8218,2860,4429,3812,4250,1390
