"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"ACNARB",22240.9843754442,2613.98997921403,5981.5686157532,9657.02796832193,9417.49140900932,6803.50142979529,33838,3943,9067,14707,14326,10383
"ADEPAV",14491.5703662267,2785.84410473582,5132.72894447157,5405.79619025745,5649.59261296131,2863.74850822549,9199,2354,3578,2973,3340,986
"ADERIC",19801.1854815872,2631.76996404114,5446.28293351925,7115.95509717459,7483.80652726327,4852.03656322213,9537,1019,1928,2144,2565,1546
"AIPMIN",24272.481118666,3860.9872490298,7667.56863892823,10195.7839203309,10335.2655928899,6474.27834386006,37211,5927,11764,15608,15827,9900
"ALBLEB",20720.1293187402,2892.66860982217,5755.29472126812,7396.74281261489,7745.18080838956,4852.51219856739,10963,1223,2098,2769,3073,1850
"ALBPRO",24575.9616152495,3834.00586116128,7607.50082880631,10084.092117453,10272.8648573123,6438.85899615102,15447,1862,3110,3841,4298,2436
"ALCLAT",17491.3661732227,3042.79181995243,6380.05169074982,9184.46565379947,8921.25847175717,5878.46665180475,14151,2255,5418,8474,7898,5643
"ALLCRA",22938.7222546041,3839.29960614443,7641.50209438801,10675.5020571947,10732.9450446665,6893.6454385221,22063,4187,8057,11943,12187,8000
"ALLRAC",24410.8776230812,4255.75167827308,8212.04071696103,10756.6461607292,10889.0763811916,6633.32470291853,7543,2517,4004,3367,3790,1273
"ALSBRY",13999.8333937945,1803.87824202236,4436.73889072984,7647.90879837144,7402.14714662172,5598.26890459936,20434,2625,6524,11325,10952,8327
"ALSPOR",21111.1181966607,3284.45433378778,6895.45702156611,10303.57563507,10097.1702847201,6812.71595093235,14627,2001,5151,8951,8411,6410
"AMYELE",15299.5137059093,2977.55112425983,5465.93058475107,6495.93136426061,6767.89292550832,3790.34180124849,9034,2734,4455,3908,4416,1682
"ANAPER",22257.1670824131,2783.20918920357,6149.83514070883,9782.45689251926,9551.39168339781,6768.18249419425,34397,4278,9481,15140,14767,10489
"ANDINE",26492.9784041047,4162.92390403897,8412.61709614098,11129.6607365683,11187.9286421686,7025.00473812968,30931,4756,10124,12498,12682,7926
"ANNGLA",26435.6693843827,4044.40561468899,8117.9769410789,10977.4545110539,11138.0970280543,7093.6914133653,26513,3746,7116,8201,8882,5136
"ANNMON",18630.7340036198,2273.40442506177,4886.75321908668,8482.00632771873,8409.98131644865,6136.57689138688,11322,1280,2556,5168,5275,3995
"ARDELL",18494.0186438523,3417.28171735629,6974.54167677462,9734.82649337128,9736.73264768347,6319.45093032718,27399,5123,10466,14612,14609,9486
"ARDGLA",5592.45347316279,902.46999234461,2256.27255199079,3274.73339498824,2978.20758485161,2075.737592507,5289,894,2355,3043,2688,1794
"ARDOBO",18669.7679391243,3322.57268113643,6307.01640758291,7133.17161966488,7378.61171515658,4056.03903402016,14155,2874,4882,4228,4638,1764
"ARTALT",18263.539021356,3311.56644845195,6845.39639579505,9717.5263008792,9687.20570358448,6375.63925513253,19740,2598,6452,11225,10802,8204
"AVIGER",20231.3740170649,2200.71022761287,4841.54246127838,6891.96458545607,7131.47776296455,4930.76753535168,20584,1553,3650,5279,5601,4048
"BADPEN",5068.14044366344,942.146103178158,1600.22384064986,2048.11622394719,2143.1553191674,1201.00921598924,5238,897,1470,2169,2264,1367
"BIXORE",26687.0213461239,4165.52601780184,8422.01135242358,11641.3086452466,11673.6356749069,7508.10965710506,41381,6460,13071,18074,18116,11656
"BOCFRU",23084.7257399918,3059.2590330122,6743.79097847221,10868.890066308,10731.2581984634,7671.99916545115,18972,2385,5432,10269,10259,7874
"BONUMB",14060.7779524345,2844.59297948889,5396.94925738871,7284.19034691714,7398.14469265938,4553.55171317048,2649,879,1324,1153,1268,389
"BOUSUC",16810.3404146481,2245.52491467796,4711.18847296416,5272.36391348799,5653.39446909812,3407.86955442016,14567,1746,3506,2641,3237,1491
"BOUVIR",11619.3194803172,2185.01071178867,3752.92666182807,3682.84178776573,4044.02004161524,1859.00932982657,12955,2863,4647,3917,4488,1625
"BRUAME",26719.9125801921,4321.13646027446,8577.21366298199,11771.5966849327,11808.0259187818,7486.8894585073,41940,6795,13485,18507,18557,11762
"BRUDEN",13950.399997673,2004.68266123999,4655.01004205272,7845.89654276427,7577.91196050309,5573.2292992631,20415,2941,6876,11678,11260,8319
"BRULAC",10706.2541797645,1572.1536832233,3622.67650467576,6089.85764967417,5801.38860574272,4229.23492251942,6743,1046,2553,3488,2990,1944
"BUCBUC",21632.9475701342,2881.51936360239,6180.70975214359,8101.88869102276,8400.59406005754,5519.07469645515,19376,2001,4755,5407,6056,4055
"BUCTET",13603.2838400248,2616.15417893603,5088.90731215477,7127.06379680894,6881.41558545083,4265.26140651479,9500,2236,4368,6468,5917,3681
"BUNGLA",17902.9899036693,2417.6171917296,4974.23158460064,6454.81633633329,6795.15305679431,4377.53586506471,13347,1430,3039,4053,4550,3120
"BURSIM",17955.0872251205,2650.61935922876,4891.67159302533,5535.37428190932,5957.47904618457,3306.85968695581,18573,3035,5178,4562,5194,2159
"BUXPOR",15713.9407317489,3324.74753225222,6306.99798011407,8288.77366543561,8335.97778995708,5011.23025770485,12272,3385,5725,6266,6520,3135
"BUXVAH",24632.1768761724,3870.98912946507,7698.74153948948,10246.2760501504,10412.0495019071,6541.06037244201,37905,5954,11836,15708,15977,10023
"BYRCRA",21004.7801528275,2108.82495755609,5053.86610590108,8183.09926402569,8179.29678747104,6070.47182991495,21535,1762,4332,6432,6856,5094
"BYRLUC",14945.0062745879,1934.50505576259,4164.57334835641,6271.25497520249,6440.14620688045,4505.64115111786,15275,1742,3773,6128,6464,4722
"BYRSPI",21649.1621718789,2589.13234752556,5902.15451660752,8986.35897908034,8758.18796793791,6169.05562041234,14530,1353,3544,4362,3959,2606
"BYRWAD",7537.96358065796,1560.92089104466,3035.4172509741,4807.12278995523,4532.71217452944,2971.79128348478,7483,1838,3220,5230,4702,2864
"CALANT",18029.8213062165,3021.99815036729,5687.66645795107,6663.06840925105,6767.13016392477,3745.13201355748,18420,3258,6073,6364,6460,3202
