"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"ACNARB",23208.0878070565,2575.0804040581,9775.00858571567,7199.92818165757,36157,3913,15001,11088
"ADEPAV",15369.6289478161,2765.64882960613,6226.01144289365,3460.36261328752,11198,2383,3905,1522
"ADERIC",16498.1249974613,1930.4656107051,5561.33126886594,3630.86565816084,18183,1730,4643,2913
"AIPMIN",25312.0716615897,3853.97564497963,10696.2924508248,6842.31680584513,39906,6002,16614,10612
"ALBLEB",18095.7847298993,2002.28711956437,6819.8059877773,4817.51886821294,11136,519,3682,3163
"ALBPRO",21779.7266468466,2335.88255340559,8215.93268968863,5880.05013628304,17004,1141,5121,3980
"ALCLAT",16515.0947821327,2852.26542023383,8553.89122007787,5701.62579984404,17190,2783,9689,6906
"ALLCRA",23046.4752202332,3716.12679517269,10692.506432116,6976.37963694334,21840,3915,12058,8143
"ALLRAC",25928.9766412079,4311.01733610034,11442.1991110593,7131.18177495897,7935,2598,3863,1265
"ALSBRY",7721.89889941993,1357.86107892334,4458.71411817125,3100.85303924792,2308,1041,1703,662
"ALSPOR",18062.4011813451,2687.45718622138,8907.73385173944,6220.27666551806,16425,2088,9666,7578
"AMYELE",14281.2539627161,2719.40464473702,6031.10212249681,3311.69747775979,9005,2855,4361,1506
"ANAPER",23233.9283588724,2758.96074634418,9916.04881385993,7157.08806751575,36716,4267,15448,11181
"ANDINE",28215.6413019747,3942.96304796636,12300.0861826539,8357.12313468754,25321,3084,11455,8371
"ANNGLA",27556.4920773432,4023.28728377074,11458.220439069,7434.93315529823,28562,3806,9283,5477
"ANNMON",21405.031229848,2935.49400096759,9668.63581104949,6733.1418100819,11042,1069,4768,3699
"ARDELL",19255.9408798255,3401.04056136496,10012.0045293625,6610.96396799758,29094,5163,15237,10074
"ARDGLA",5011.36789099107,811.531582268343,2565.69218403565,1754.16060176731,5538,973,2773,1800
"ARDOBO",19189.6007692255,3323.60853717104,7362.99701456726,4039.38847739622,15233,3040,4749,1709
"ARTALT",22164.5485858191,3575.66082618572,11528.1060167197,7952.445190534,13652,948,6870,5922
