"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ACNARB",33838,3944,9062,14702,14320,10376,NA,NA,NA,NA,NA,NA,NA,NA
"ADEPAV",10548,2329,3966,3392,3729,1400,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,3,2,3,3
"ADERIC",16534,1698,4353,3859,4539,2841,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,3,3,5
"AIPMIN",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA
"ALBLEB",10394,594,2025,3621,3634,3040,1.62772840787419,0.056468466496443,NA,0.0642671423591184,7,1,NA,2
"ALBPRO",15788,1188,2585,4748,4810,3622,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,11,15,15,13
"ALCLAT",16364,2794,6369,9976,9319,6525,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,19,19,25,23
"ALLCRA",20617,3928,7507,11324,11603,7675,NA,NA,NA,1.5438462977939,NA,NA,NA,3
"ALLRAC",7543,2517,4004,3360,3791,1274,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,1,1
"ALSBRY",2213,1028,1435,1790,1668,640,NA,NA,NA,NA,NA,NA,NA,NA
"ALSPOR",15780,2156,5326,9984,9372,7216,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,1,3,3,5
"AMYELE",8611,2768,4442,3819,4316,1548,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,6,7,7,9
"ANAPER",34397,4279,9477,15134,14762,10483,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,1,1
"ANDINE",23538,3048,7266,10919,10896,7848,22.6844740272268,22.5003944109716,19.149498597528,18.3004253842594,66,70,73,73
"ANNGLA",26410,3719,7069,8139,8830,5111,NA,NA,NA,NA,NA,NA,NA,NA
"ANNMON",10235,1033,2225,4303,4522,3489,NA,NA,NA,NA,NA,NA,NA,NA
"ARDELL",27399,5126,10464,14601,14608,9482,NA,NA,NA,NA,NA,NA,NA,NA
"ARDGLA",5284,930,2368,3054,2705,1775,NA,NA,NA,NA,NA,NA,NA,NA
"ARDOBO",14284,2937,4786,4068,4539,1602,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,13,11,13,18
"ARTALT",12866,1005,3557,6445,6547,5542,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,7,9,10,11
"AVIGER",20428,1510,3560,5205,5515,4005,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,2,1,1,2
"BADPEN",2831,681,1072,1768,1772,1091,NA,NA,NA,NA,NA,NA,NA,NA
"BIXORE",41381,6461,13066,18062,18111,11650,NA,NA,1.05597186690164,NA,NA,NA,1,NA
"BOCFRU",33838,3944,9062,14702,14320,10376,0.0284905509461046,NA,NA,NA,1,NA,NA,NA
"BONUMB",4076,971,1610,1422,1596,625,NA,NA,NA,NA,NA,NA,NA,NA
"BOUSUC",19311,2463,5207,4453,5251,2788,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,6,16,16,13
"BOUVIR",12924,2860,4643,3906,4484,1624,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,2,1,2,3
"BRUAME",41940,6796,13481,18494,18553,11757,NA,NA,NA,NA,NA,NA,NA,NA
"BRUDEN",20415,2944,6875,11673,11259,8315,NA,NA,NA,NA,NA,NA,NA,NA
"BRULAC",639,469,542,595,559,90,NA,NA,NA,NA,NA,NA,NA,NA
"BUCBUC",32583,4397,9325,11941,12677,8280,11.6379578163351,2.48086105133674,2.24614765973285,3.38830380179333,16,6,8,9
"BUCTET",17365,3184,6868,11100,10456,7272,0.725006264392821,0.258761354805048,0.288283824120099,0.254805704403552,7,6,6,5
"BUNGLA",13559,1450,3047,4086,4577,3127,NA,NA,NA,NA,NA,NA,NA,NA
"BURSIM",16415,2380,4087,3112,3769,1389,7.38825558257068,10.9967772431899,9.15416821619929,8.60385344688696,28,33,32,33
"BUXPOR",12272,3385,5723,6255,6522,3137,NA,NA,NA,NA,NA,NA,NA,NA
"BUXVAH",37905,5956,11834,15700,15971,10015,NA,NA,NA,NA,NA,NA,NA,NA
"BYRCRA",6374,588,1005,2705,2792,2204,NA,NA,NA,NA,NA,NA,NA,NA
"BYRLUC",12377,1577,2896,4473,4828,3251,4.6386688781611,5.09078518107988,4.37177157898509,6.82482632875099,2,4,5,6
"BYRSPI",10536,889,2739,3524,3105,2216,1.05114481554018,1.2441579418002,0.897508200829275,0.726985099742556,5,10,10,8
"BYRWAD",4851,1512,2337,3484,3154,1642,0.41161020398567,0.379761360504689,0.380263582887692,0.416963713111572,2,2,2,2
"CALANT",21307,3319,6752,7164,7122,3803,5.27134884251656,10.2871324080007,4.74300207968149,7.70226475389,11,14,16,20
"CALKRU",3574,1416,2129,2625,2425,1009,NA,NA,NA,NA,NA,NA,NA,NA
"CALPAL",10064,1139,1949,1512,1768,629,NA,0.351527127256468,0.703981244601093,0.771923148896948,NA,1,2,2
"CANWIN",10938,1125,2873,2854,3472,2347,1.92037329440506,1.4642525397514,1.05597186690164,1.5722584889835,3,2,1,2
"CAPFRO",3649,344,573,393,557,213,NA,NA,NA,NA,NA,NA,NA,NA
