"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ACNARB",33838,3944,9062,14702,14320,10376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADEPAV",10548,2329,3966,3392,3729,1400,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3
"ADERIC",16534,1698,4353,3859,4539,2841,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5
"AIPMIN",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALBLEB",10394,594,2025,3621,3634,3040,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2
"ALBPRO",15788,1188,2585,4748,4810,3622,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13
"ALCLAT",16364,2794,6369,9976,9319,6525,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23
"ALLCRA",20617,3928,7507,11324,11603,7675,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"ALLRAC",7543,2517,4004,3360,3791,1274,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1
"ALSBRY",2213,1028,1435,1790,1668,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALSPOR",15780,2156,5326,9984,9372,7216,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,NA,NA,NA,NA,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,0.7092582089175,28.8225616382678,6.2621787609135,2.70173102628786,1,3,3,5
"AMYELE",8611,2768,4442,3819,4316,1548,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,NA,NA,NA,NA,1.06388730628038,1.75763563628234,3.90668911433596,4.65995108457129,18.7486093273133,10.2497678274786,11.6156906016534,0.385961574448474,6,7,7,9
"ANAPER",34397,4279,9477,15134,14762,10483,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,NA,NA,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,8.13057661950557,NA,NA,NA,1,1
"ANDINE",23538,3048,7266,10919,10896,7848,22.6844740272268,22.5003944109716,19.149498597528,18.3004253842594,1.53449924106786,1.18552309660341,0.517244617941583,1.16970778086386,14.7354059972329,15.5306588394711,13.4132718336294,12.039803619515,0.709258204186922,2.10916277291721,28.8243709459266,0.41437376563808,66,70,73,73
"ANNGLA",26410,3719,7069,8139,8830,5111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANNMON",10235,1033,2225,4303,4522,3489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDELL",27399,5126,10464,14601,14608,9482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDGLA",5284,930,2368,3054,2705,1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDOBO",14284,2937,4786,4068,4539,1602,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,NA,NA,NA,NA,2.96762781060877,4.04123049199772,5.41902841062799,5.93407452014863,33.4356303822334,0.703054259202135,1.7599531208935,1.18629691968357,13,11,13,18
"ARTALT",12866,1005,3557,6445,6547,5542,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,0.233812251109995,0.183365166202494,0.169637763522871,0.465032079946476,0.748539501659245,0.813510108983584,1.02010182091764,1.49592794301906,1.06388731101096,2.86769811680358,0.351990622300547,39.8676911495688,7,9,10,11
"AVIGER",20428,1510,3560,5205,5515,4005,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,0.0284905509461046,0.056468466496443,0.0565459211742903,0.0620042773261967,2.30260821757385,0.859743325724455,1.21289453516971,2.14577831985596,8.51109850701,1.75763564566074,87.5464810792884,0.771923148896948,2,1,1,2
"BADPEN",2831,681,1072,1768,1772,1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIXORE",41381,6461,13066,18062,18111,11650,NA,NA,1.05597186690164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"BOCFRU",33838,3944,9062,14702,14320,10376,0.0284905509461046,NA,NA,NA,NA,NA,NA,NA,0.0284905509461046,NA,NA,NA,1.06388731101096,NA,NA,NA,1,NA,NA,NA
"BONUMB",4076,971,1610,1422,1596,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOUSUC",19311,2463,5207,4453,5251,2788,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,NA,NA,NA,NA,1.33096513754371,6.96967688282299,8.08739279928463,7.5166927990261,2.48240372411538,0.703054254512936,82.2451575310972,144.969903806186,6,16,16,13
"BOUVIR",12924,2860,4643,3906,4484,1624,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,NA,NA,NA,NA,0.354629102093461,NA,NA,0.0310021386630984,2.1277746267525,NA,0.703981249296475,1.54384630809097,2,1,2,3
"BRUAME",41940,6796,13481,18494,18553,11757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRUDEN",20415,2944,6875,11673,11259,8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRULAC",639,469,542,595,559,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUCBUC",32583,4397,9325,11941,12677,8280,11.6379578163351,2.48086105133674,2.24614765973285,3.38830380179333,0.227924407568837,0.141171166241107,0.144141912060049,0.0952692810222168,4.90000487655931,1.42627966956734,1.8941570374323,2.2304190784479,1.06388731101096,21.0308207758512,3.20270787443025,21.1330621746756,16,6,8,9
"BUCTET",17365,3184,6868,11100,10456,7272,0.725006264392821,0.258761354805048,0.288283824120099,0.254805704403552,0.170943305676628,0.117590188563941,0.0565459211742903,0.130797149751159,0.37037716229936,0.258761354805048,0.288283824120099,0.254805704403552,8.31713753062881,1.40610851371507,12.9500006127962,1.18629691453503,7,6,6,5
