"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ACNARB",22240.9843754442,2612.76102563087,5978.26614860166,9649.28507894091,9409.01958258171,6796.25855695084,33838,3941,9062,14695,14313,10372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADEPAV",14491.5703662267,2787.01430623251,5126.39482128946,5404.7180402058,5646.51423352258,2859.49992729007,9199,2356,3576,2978,3339,983,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3
"ADERIC",19801.1854815872,2629.89616029891,5443.1812893539,7113.02916669878,7478.27734999928,4848.38118970037,9537,1016,1927,2148,2564,1548,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5
"AIPMIN",24272.481118666,3861.65166604891,7659.89905737899,10192.4652622491,10328.7298587803,6467.07819273137,37211,5928,11752,15603,15817,9889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALBLEB",20720.1293187402,2889.90727909841,5751.69426451251,7392.67198875174,7738.3897204008,4848.48244130239,10963,1221,2101,2769,3070,1849,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2
"ALBPRO",24575.9616152495,3835.05203246139,7600.04784501344,10081.4367391858,10266.3329293504,6431.28089688905,15447,1862,3112,3836,4292,2430,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13
"ALCLAT",17491.3661732227,3043.88446501642,6374.78683627397,9178.73669929057,8915.61861350387,5871.73414848745,14151,2257,5415,8467,7894,5637,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23
"ALLCRA",22938.7222546041,3839.29505234957,7636.84862446785,10670.048612088,10726.4120316207,6887.11697927117,22063,4188,8056,11942,12181,7993,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"ALLRAC",24410.8776230812,4255.80592825264,8205.99247916043,10752.0970984623,10882.8591430336,6627.05321478099,7543,2519,3999,3370,3791,1272,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1
"ALSBRY",13999.8333937945,1804.50025503617,4432.75781602692,7641.88230864145,7395.44866662007,5590.9484115839,20434,2626,6518,11316,10942,8316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
