"sp","sum","sum.1","sum.2","sum.3","sum.4","sum.5","sum.6","sum.7","sum.8","sum.9","sum.10","sum.11","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ACNARB",23173.209542226,2572.76298902277,6232.49563427363,10043.8798264442,9766.62753247097,7193.8645434482,35257,3879,9451,15295,14859,10980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADEPAV",15166.9453390292,2817.25979813625,5265.34176973498,5603.81213712832,5844.33098625235,3027.0711881161,9692,2402,3675,3062,3457,1055,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3
"ADERIC",20667.7868179801,2615.59690030435,5614.84196307734,7368.63769511706,7719.90990935944,5104.31300905509,9948,1004,1995,2205,2608,1604,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5
"AIPMIN",25312.1185230464,3858.06705359928,7913.22847817838,10582.2826941609,10685.4994588215,6827.43240522221,38806,5923,12141,16198,16364,10441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALBLEB",21637.5644574463,2885.06888892874,5924.55374058895,7647.94956023991,7993.06312535331,5107.99423642457,11469,1211,2154,2804,3121,1910,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2
"ALBPRO",25623.152526401,3825.26347517036,7844.1468018014,10475.7523989063,10617.2194743156,6791.95599914528,16145,1833,3222,3957,4392,2559,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13
"ALCLAT",18184.5408743657,3036.57469381765,6574.30326480046,9508.7078391239,9193.06827970222,6156.49358588457,14659,2217,5595,8803,8150,5933,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23
"ALLCRA",23895.9554060102,3838.30706456304,7874.57177594304,11065.2378998995,11071.2522190213,7232.94515445828,22960,4200,8301,12376,12529,8329,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"ALLRAC",25470.668753162,4275.26027859747,8467.48493082076,11149.7780964077,11245.3908670023,6970.13058840483,7908,2571,4063,3453,3872,1301,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1
"ALSBRY",14503.4332554135,1745.34558547568,4568.58839117084,7916.61650061328,7620.05157116242,5874.70598568674,21161,2536,6714,11725,11273,8737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
