"","sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Acnistus_arborescens","ACNARB",33838,3944,9062,14702,14320,10376,NA,NA,NA,NA,NA,NA,NA,NA,"Acnistus_arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08414367785811,-1.14691595345796,2.6805751627561,0.137261474885305,-1.48338004974523,-1.35942823325585,NA,NA,-3.22437912218601,1.57880497343058
"Adenanthera_pavonina","ADEPAV",10548,2329,3966,3392,3729,1400,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,3,2,3,3,"Adenanthera_pavonina",234,NA,NA,234,0.60277991,152.4444444,1233.654518,150.8393019,6.5,2.36921585741014,2.18311160180479,3.09119355359225,2.17851451377814,-0.499126247395113,0.546424759718368,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,0.546424759718368,-0.499126247395113,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,-1.72281896325415,0.410086486405826,1.49479087797032,0.97699004186971
"Adelia_ricinella","ADERIC",16534,1698,4353,3859,4539,2841,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,3,3,5,"Adelia_ricinella",NA,NA,NA,NA,0.817326947,136.6666667,23.93057147,138.3520253,4,NA,2.135662602106,1.37895306983384,2.14098552104962,0.643338991086682,NA,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,-0.460752861422876,0.643338991086682,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,NA,NA,0.702692019382308,-1.23242951831923
"Aiphanes_acanthophylla","AIPMIN",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA,"Aiphanes_acanthophylla",NA,NA,NA,NA,NA,192.1111111,45.22604067,174.0977514,8,NA,2.28355248380948,1.65538856894343,2.24079316192217,NA,NA,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,-0.170774231508598,-1.60467475768684,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,NA,NA,0.792587030701612,0.986596558176627
"Albizia_lebbeck","ALBLEB",10394,594,2025,3621,3634,3040,1.62772840787419,0.056468466496443,NA,0.0642671423591184,7,1,NA,2,"Albizia_lebbeck",123,NA,NA,123,NA,NA,NA,NA,NA,2.0899051114394,NA,NA,NA,NA,0.287556897119118,NA,NA,NA,NA,0.287556897119118,-0.391388115007665,-0.786014489192088,0.727007164333104,-0.344190433425272,-0.560997853060671,NA,NA,0.400045759260772,0.3026873244669
"Albizia_procera","ALBPRO",15788,1188,2585,4748,4810,3622,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,11,15,15,13,"Albizia_procera",36,NA,NA,36,NA,NA,NA,NA,NA,1.55630250076729,NA,NA,NA,NA,-0.206991090363388,NA,NA,NA,NA,-0.206991090363388,-0.933591479795947,0.0657215691758929,0.727124263712248,-1.18277503474601,-0.822784528051559,NA,NA,-0.819360874772601,0.988509136823908
"Alchornea_latifolia","ALCLAT",16364,2794,6369,9976,9319,6525,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,19,19,25,23,"Alchornea_latifolia",34,NA,21.8636,21.8636,0.430138969,179.302682,179.2952453,163.8239611,27,1.33972167323172,2.25358678576458,2.25356877273367,2.21437742253101,-1.41844108198445,-0.407720266425885,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-0.407720266425885,-1.41844108198445,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-2.05743924685668,-0.333010406550289,1.4955528220551,1.47918908436104
"Allophylus_crassinervis","ALLCRA",20617,3928,7507,11324,11603,7675,NA,NA,NA,1.5438462977939,NA,NA,NA,3,"Allophylus_crassinervis",NA,NA,NA,NA,0.881489862,207.25,16.15970792,118.3069046,8,NA,2.31649453922231,1.20843350681736,2.07301009156094,0.985007191273302,NA,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,-1.08921309142737,0.985007191273302,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,NA,NA,-0.410552452295016,-1.22017556014424
"Allophylus_racemosus","ALLRAC",7543,2517,4004,3360,3791,1274,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,1,1,"Allophylus_racemosus",18.55,NA,NA,18.55,0.686336981,204.2888889,235.0207448,242.4582029,8,1.26834391395106,2.31024474636498,2.37110619824849,2.38463688184788,-0.0541839616302661,-0.473873854315563,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.473873854315563,-0.0541839616302661,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.997947107110485,0.998197712504892,1.05791559035876,0.449462835920338
"NA","ALSBRY",2213,1028,1435,1790,1668,640,NA,NA,NA,NA,NA,NA,NA,NA,"Alsophila_bryophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
