"","sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Acnistus_arborescens","ACNARB",22240.9843754442,2612.76102563087,5978.26614860166,9649.28507894091,9409.01958258171,6796.25855695084,33838,3941,9062,14695,14313,10372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acnistus_arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07857141541694,-1.1595874095849,2.66290309171004,0.11857128160043,-1.44823857880129,-1.39850580403619,NA,NA,-3.13103474771719,1.6725164933165
"Adenanthera_pavonina","ADEPAV",14491.5703662267,2787.01430623251,5126.39482128946,5404.7180402058,5646.51423352258,2859.49992729007,9199,2356,3576,2978,3339,983,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3,"Adenanthera_pavonina",234,NA,NA,234,0.60277991,152.4444444,1233.654518,150.8393019,6.5,2.36921585741014,2.18311160180479,3.09119355359225,2.17851451377814,-0.497151089163936,0.550219047122289,-1.33008999542591,2.28536325555954,0.379992287600102,-0.810256518456059,0.550219047122289,-0.497151089163936,-1.33008999542591,2.28536325555954,0.379992287600102,-0.810256518456059,-1.79228030851101,0.412185409408899,1.5846395453698,0.971086268457642
"Adelia_ricinella","ADERIC",19801.1854815872,2629.89616029891,5443.1812893539,7113.02916669878,7478.27734999928,4848.38118970037,9537,1016,1927,2148,2564,1548,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5,"Adelia_ricinella",NA,NA,NA,NA,0.817326947,136.6666667,23.93057147,138.3520253,4,NA,2.135662602106,1.37895306983384,2.14098552104962,0.642724942075886,NA,-1.63841529939999,-0.437271451514391,0.20868974686202,-1.11621905452976,-0.449492377217015,0.642724942075886,-1.63841529939999,-0.437271451514391,0.20868974686202,-1.11621905452976,NA,NA,0.686586129237497,-1.24082787515434
"Aiphanes_acanthophylla","AIPMIN",24272.481118666,3861.65166604891,7659.89905737899,10192.4652622491,10328.7298587803,6467.07819273137,37211,5928,11752,15603,15817,9889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aiphanes_acanthophylla",NA,NA,NA,NA,NA,192.1111111,45.22604067,174.0977514,8,NA,2.28355248380948,1.65538856894343,2.24079316192217,NA,NA,-0.677421537247481,0.00228881544707484,0.664265588990863,-0.626678996811836,-0.361996169838596,-2.93437428121427,-0.677421537247481,0.00228881544707484,0.664265588990863,-0.626678996811836,NA,NA,0.961460368981887,2.08480583124808
"Albizia_lebbeck","ALBLEB",20720.1293187402,2889.90727909841,5751.69426451251,7392.67198875174,7738.3897204008,4848.48244130239,10963,1221,2101,2769,3070,1849,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2,"Albizia_lebbeck",123,NA,NA,123,NA,NA,NA,NA,NA,2.0899051114394,NA,NA,NA,NA,0.292144845212335,NA,NA,NA,NA,0.292144845212335,-0.393431809716916,-0.78864161804606,0.767194968976719,-0.327968287799549,-0.569221206688828,NA,NA,0.452791510985845,0.302771286429818
"Albizia_procera","ALBPRO",24575.9616152495,3835.05203246139,7600.04784501344,10081.4367391858,10266.3329293504,6431.28089688905,15447,1862,3112,3836,4292,2430,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13,"Albizia_procera",36,NA,NA,36,NA,NA,NA,NA,NA,1.55630250076729,NA,NA,NA,NA,-0.20088691197146,NA,NA,NA,NA,-0.20088691197146,-0.941567615620022,0.0601959997577298,0.74805982913307,-1.15304067889242,-0.846917915778569,NA,NA,-0.74461522839943,1.02023455443846
"Alchornea_latifolia","ALCLAT",17491.3661732227,3043.88446501642,6374.78683627397,9178.73669929057,8915.61861350387,5871.73414848745,14151,2257,5415,8467,7894,5637,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23,"Alchornea_latifolia",34,NA,21.8636,21.8636,0.430138969,179.302682,179.2952453,163.8239611,27,1.33972167323172,2.25358678576458,2.25356877273367,2.21437742253101,-1.41438244974706,-0.401000674229261,-0.872139719235317,0.953455546623167,0.543689923507008,1.69863627734833,-0.401000674229261,-1.41438244974706,-0.872139719235317,0.953455546623167,0.543689923507008,1.69863627734833,-2.07633125363143,-0.28430452811406,1.57716372693324,1.43723112055173
"Allophylus_crassinervis","ALLCRA",22938.7222546041,3839.29505234957,7636.84862446785,10670.048612088,10726.4120316207,6887.11697927117,22063,4188,8056,11942,12181,7993,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Allophylus_crassinervis",NA,NA,NA,NA,0.881489862,207.25,16.15970792,118.3069046,8,NA,2.31649453922231,1.20843350681736,2.07301009156094,0.983618808174714,NA,-0.463362878199484,-0.708414719593569,-0.101586733602249,-0.626678996811836,-1.08860619683312,0.983618808174714,-0.463362878199484,-0.708414719593569,-0.101586733602249,-0.626678996811836,NA,NA,-0.429614551773417,-1.207537077434
"Allophylus_racemosus","ALLRAC",24410.8776230812,4255.80592825264,8205.99247916043,10752.0970984623,10882.8591430336,6627.05321478099,7543,2519,3999,3370,3791,1272,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1,"Allophylus_racemosus",18.55,NA,NA,18.55,0.686336981,204.2888889,235.0207448,242.4582029,8,1.26834391395106,2.31024474636498,2.37110619824849,2.38463688184788,-0.0532171910066567,-0.466951442419202,-0.503974256621424,1.14035188339494,1.32084581939415,-0.626678996811836,-0.466951442419202,-0.0532171910066567,-0.503974256621424,1.14035188339494,1.32084581939415,-0.626678996811836,-1.01334125908097,0.99705777058057,1.11627365686545,0.448085076849887
"NA","ALSBRY",13999.8333937945,1804.50025503617,4432.75781602692,7641.88230864145,7395.44866662007,5590.9484115839,20434,2626,6518,11316,10942,8316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alsophila_bryophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1","ALSPOR",21111.1181966607,3286.28540094756,6891.22987610288,10298.7939524893,10091.0514446963,6804.76604374871,14627,2005,5150,8950,8407,6402,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,NA,NA,NA,NA,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,0.7092582089175,28.8225616382678,6.2621787609135,2.70173102628786,1,3,3,5,"Alsophila_portoricensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amyris_elemifera","AMYELE",15299.5137059093,2977.70010279864,5462.80829601735,6494.26339945942,6764.93204973638,3787.23194693774,9034,2736,4453,3912,4417,1681,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,NA,NA,NA,NA,1.06388730628038,1.75763563628234,3.90668911433596,4.65995108457129,18.7486093273133,10.2497678274786,11.6156906016534,0.385961574448474,6,7,7,9,"Amyris_elemifera",63.1696,8.2,NA,8.2,0.911156945,225.6262626,27.46144804,74.89156875,8,0.913813852383717,2.35338964955967,1.43872343381847,1.87443292782689,1.14123830878102,-0.7945258877707,-0.223617126294592,-0.342230556860503,-1.00799988799416,-0.626678996811836,-0.7945258877707,1.14123830878102,-0.223617126294592,-0.342230556860503,-1.00799988799416,-0.626678996811836,1.6505459378265,0.357407632019915,-1.02094425263916,-1.1444959165699
"Anadenanthera_peregrina","ANAPER",22257.1670824131,2781.37642289605,6147.20224525686,9774.20693930425,9543.04567260202,6761.66924970597,34397,4275,9477,15127,14754,10479,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,NA,NA,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,8.13057661950557,NA,NA,NA,1,1,"Anadenanthera_peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210216509191455,0.380543426866039,-1.46162848143922,0.218119131553366,0.178267735189985,-0.765908828750181,NA,NA,0.948183426157922,-0.757973941301715
