CODE;AI_51;AI_77;AI_91;AI_00
ACNARB;90.4984126028296;85.711528895334;84.6196152946796;82.7821586813389
ADEPAV;95.5617760651048;94.4168197356896;94.9469690119951;94.6179654840461
ADERIC;95.8690029632839;91.7284330947312;92.1229843233555;91.2524556299832
AIPMIN;88.4017635020437;83.9038703202839;82.8933716330125;81.1090809929722
ALBLEB;97.3669606255283;94.0424148670353;92.6962562671296;92.0819516663902
ALBPRO;95.7203489289293;92.8263832111437;92.0327716358021;91.1036739716427
ALCLAT;94.2866438193901;91.3527334169915;89.1989973832486;88.7460336098636
ALLCRA;91.7110920460824;89.2898224858024;87.8431739680532;86.2726197644923
ALLRAC;95.5333650662174;94.857864814463;95.6016424354278;95.032810412948
ALSBRY;97.9355781201792;97.8931249695067;97.5952087601138;97.4900472218821
ALSPOR;94.3886852731961;92.0045284819128;89.8669288195747;89.1009889292564
AMYELE;95.1162249317918;94.199537835335;94.9101204375579;94.1847731001806
ANAPER;90.2599407096142;85.5965197097123;84.7093981056392;82.8428266160164
ANDINE;91.8574403527356;87.0367908762098;84.7998979570302;83.8211091293486
ANNGLA;92.3021632784693;88.5774465914922;88.671114419763;87.3932435660419
ANNMON;96.6560037509251;95.1033828233084;94.6818551415934;93.7817177640549
ARDELL;89.7286839309914;85.3878195858294;83.6154300555715;82.1237874781054
ARDGLA;97.9451237554543;96.1542245438401;95.350858242644;95.387515825879
ARDOBO;94.6478897780258;93.201628942614;93.9030998968506;93.42227655059
ARTALT;96.1731915551874;92.2623797757693;90.1124943410518;89.4524341313893
AVIGER;94.8517194798468;90.9181824512183;90.740977045354;89.5412938138555
BADPEN;98.3390782157527;97.600475399482;96.8215426483717;96.6614299529039
BIXORE;87.6158726768754;82.957832269522;82.1291430548872;80.1813331219332
BOCFRU;90.4984126028296;85.711528895334;84.6196152946796;82.7821586813389
BONUMB;98.1517292531214;97.2668529258523;97.4371158717826;97.0126517965075
BOUSUC;94.4560641807398;90.7008172792668;91.5129701681509;90.5365817372739
BOUVIR;94.8813581531316;93.5016159519971;94.1472833945049;93.3152329712411
BRUAME;87.3896536633466;82.8524778490363;82.2212788725972;80.2476294248595
BRUDEN;93.2219905345289;89.2911491351437;86.8382188117407;85.7419179630047
BRULAC;99.2725026309874;99.2069115418138;99.1940363355413;99.1926321392874
BUCBUC;90.8030431425447;86.0293690476007;85.5299475143194;84.0556030876247
BUCTET;93.7706561244224;91.4170538562602;89.6132244475313;88.8900739339121
BUNGLA;96.5231739414343;94.3518804266078;94.1328419287656;93.1302192261298
BURSIM;94.858730157727;92.5295042824624;93.6461210148585;92.6627120198496
BUXPOR;93.9617732294333;92.1299251049646;91.5089490820906;91.074927460111
