;SCIENTIFIC_NAME;TPA;CODE;fcover_51;fcover_00;tot_change
1;Adenanthera pavonina;6.677078046;ADEPAV;2340;3765;1425
2;Adelia ricinella;4.585792832;ADERIC;1718;4565;2847
3;Albizia lebbeck;0.061488164;ALBLEB;602;3624;3022
4;Albizia procera;3.657935029;ALBPRO;1187;4796;3609
5;Alchornea latifolia;4.252735912;ALCLAT;2791;9323;6532
6;Allophylus crassinervis;1.477088771;ALLCRA;3917;11619;7702
7;Allophylus racemosus;0.059323148;ALLRAC;2516;3813;1297
8;Alsophila portoricensis;1.590779155;ALSPOR;2146;9370;7224
9;Amyris elemifera;14.48692287;AMYELE;2760;4337;1577
10;Anadenanthera peregrina;0.059323148;ANAPER;4285;14786;10501
11;Andira inermis;17.57423806;ANDINE;3052;10913;7861
12;Ardisia obovata;21.56748169;ARDOBO;2959;4569;1610
13;Artocarpus altilis;2.169786841;ARTALT;993;6542;5549
14;Avicennia germinans;7.439879112;AVIGER;1527;5536;4009
15;Bourreria virgata;1.876022537;BOUVIR;2870;4532;1662
16;Bucida buceras;3.365102345;BUCBUC;4411;12719;8308
17;Bursera simaruba;9.348548602;BURSIM;2401;3804;1403
18;Byrsonima lucida;6.529713707;BYRLUC;1576;4841;3265
19;Byrsonima spicata;0.695549504;BYRSPI;897;3121;2224
20;Byrsonima wadsworthii;0.398933766;BYRWAD;1519;3158;1639
21;Calophyllum antillanum;7.369210778;CALANT;3324;7136;3812
22;Calyptranthes pallens;0.738544385;CALPAL;1153;1787;634
23;Canella winterana;1.504272389;CANWIN;1133;3483;2350
24;Casearia aculeata;1.107816578;CASACU;3236;7799;4563
25;Casearia arborea;5.9857497;CASARB;2344;7727;5383
26;Casearia decandra;2.443093064;CASDEC;3138;7812;4674
27;Castilla elastica;0.059323148;CASELA;6493;18302;11809
28;Casearia guianensis;43.72767517;CASGUI;3233;8591;5358
29;Casearia sylvestris;33.9978818;CASSYL;4700;15145;10445
30;Cecropia schreberiana;9.334938774;CECSCH;3157;11887;8730
31;Cedrela odorata;0.118646295;CEDODO;6801;18599;11798
32;Ceiba pentandra;0.426117385;CEIPEN;3299;8362;5063
33;Cestrum laurifolium;1.531456007;CESLAU;4203;13247;9044
34;Chionanthus domingensis;1.506750345;CHIDOM;4245;9942;5697
35;Chrysophyllum argenteum;0.912915604;CHRARG;3401;7671;4270
36;Chrysophyllum cainito;0.432925373;CHRCAI;5941;15879;9938
37;Chrysobalanus icaco;2.954177541;CHRICA;927;2613;1686
38;Chrysophyllum pauciflorum;0.262156532;CHRPAU;1660;6283;4623
39;Cinnamomum elongatum;2.970679603;CINELO;4071;14093;10022
40;Cinnamomum montanum;0.555901701;CINMON;3414;9907;6493
41;Citrus x sinensis;0.946175402;CITSIN;1523;6264;4741
42;Citharexylum spinosum;0.127306361;CITSPI;3082;9656;6574
43;Clusia rosea;4.470417895;CLUROS;2894;4490;1596
44;Coccoloba diversifolia;9.321982284;COCDIV;3371;5224;1853
45;Coccoloba krugii;5.53908289;COCKRU;656;979;323
46;Coccoloba microstachya;14.64772861;COCMIC;954;1860;906
47;Coccoloba pyrifolia;0.426117385;COCPYR;1841;3247;1406
48;Coccoloba rugosa;5.550381355;COCRUG;1574;5509;3935
49;Coccoloba sintenisii;1.846360963;COCSIN;332;445;113
50;Coccoloba uvifera;0.104231285;COCUVI;5941;15879;9938
51;Coccoloba venosa;0.747676204;COCVEN;3351;8336;4985
52;Coffea arabica;2.584905349;COFARA;2524;11236;8712
53;Cojoba arborea;0.398933766;COJARB;3672;5501;1829
54;Colubrina arborescens;0.792911622;COLARB;2254;3654;1400
55;Comocladia dodonaea;0.738544385;COMDOD;859;1399;540
56;Comocladia glabra;1.477088771;COMGLA;1823;2750;927
57;Conocarpus erectus;0.458256914;CONERE;1870;4711;2841
58;Cordia alliodora;3.161856813;CORALL;2337;10801;8464
59;Cordia borinquensis;1.167139726;CORBOR;2370;7935;5565
60;Cordia collococca;0.369272193;CORCOL;957;5556;4599
61;Cordia laevigata;0.148307869;CORLAE;4403;12171;7768
62;Cornutia obovata;0.029661574;COROBO;5941;15879;9938
63;Cordia sulcata;6.259198914;CORSUL;1965;8335;6370
64;Crescentia cujete;0.03182659;CRECUJ;3317;6778;3461
65;Croton astroites;0.426273593;CROAST;767;2024;1257
66;Croton poecilanthus;0.029661574;CROPOE;587;797;210
67;Crossopetalum rhacoma;6.277627276;CRORHA;640;959;319
68;Cupania americana;4.492928271;CUPAME;3884;11868;7984
69;Cyathea arborea;2.690505719;CYAARB;2568;9320;6752
70;Cyrilla racemiflora;0.029661574;CYRRAC;718;815;97
71;Dacryodes excelsa;1.094170332;DACEXC;2058;6193;4135
72;Daphnopsis americana;1.708799572;DAPAME;1150;3418;2268
73;Delonix regia;2.051790391;DELREG;3757;12511;8754
74;Dendropanax arboreus;8.422942789;DENARB;4439;13393;8954
75;Drypetes glauca;0.029661574;DRYGLA;1500;2399;899
76;Erithalis fruticosa;0.03182659;ERIFRU;1724;2748;1024
77;Erythroxylum areolatum;2.415204428;ERYARE;677;952;275
78;Erythrina poeppigiana;1.461356647;ERYPOE;3741;11913;8172
79;Erythroxylum rotundifolium;8.741164559;ERYROT;1318;2793;1475
80;Erythroxylum rufum;1.189367433;ERYRUF;1156;1688;532
81;Eugenia biflora;11.74752861;EUGBIF;3611;9885;6274
82;Eugenia borinquensis;1.477088771;EUGBOR;1369;3170;1801
83;Eugenia confusa;0.029661574;EUGCON;332;445;113
84;Eugenia domingensis;1.107816578;EUGDOM;3465;7714;4249
