"","SCIENTIFIC_NAME","CODE","D_51","D_91","D_00"
"1","Adenanthera pavonina","ADEPAV",1416.58635905578,1325.25888736026,NA
"2","Adelia ricinella","ADERIC",1581.36807080367,1272.61892595896,NA
"3","Albizia lebbeck","ALBLEB",1798.71115967372,1243.41128764365,NA
"4","Albizia procera","ALBPRO",1496.97956105798,1282.76955274567,NA
"5","Alchornea latifolia","ALCLAT",1367.88020076379,1093.42918654803,NA
"6","Allophylus crassinervis","ALLCRA",1245.27834985736,1159.5564742128,NA
"7","Allophylus racemosus","ALLRAC",1210.93578084261,1286.67473525705,NA
"8","Alsophila portoricensis","ALSPOR",1380.89356425333,1174.95147883991,NA
"9","Amyris elemifera","AMYELE",1260.80701993073,1420.38584783079,NA
"10","Anadenanthera peregrina","ANAPER",1340.17250745256,1220.41031981897,NA
"11","Andira inermis","ANDINE",1342.99300595661,1148.7228134819,NA
"12","Ardisia obovata","ARDOBO",1580.47328374159,1348.49404542514,NA
"13","Artocarpus altilis","ARTALT",1438.5238703521,1119.8553123287,NA
"14","Avicennia germinans","AVIGER",1500.053070685,1246.48089575219,NA
"15","Bourreria virgata","BOUVIR",1490.95725372988,1495.28362151178,NA
"16","Bucida buceras","BUCBUC",1371.99115680356,1177.46740964115,NA
"17","Bursera simaruba","BURSIM",1485.69932273824,1388.8367973893,NA
"18","Byrsonima lucida","BYRLUC",1425.77630740522,1243.19399934662,NA
"19","Byrsonima spicata","BYRSPI",1667.69295069811,1340.13215796421,NA
"20","Byrsonima wadsworthii","BYRWAD",1260.49753675443,1078.95527753687,NA
"21","Calophyllum antillanum","CALANT",1411.07402813905,1187.08427212286,NA
"22","Calyptranthes pallens","CALPAL",1737.75661653246,1634.98523078184,NA
"23","Canella winterana","CANWIN",1616.96539961283,1293.02682211493,NA
"24","Casearia aculeata","CASACU",1390.61582400776,1227.50548886999,NA
"25","Casearia arborea","CASARB",1322.52702920792,1121.00098838787,NA
"26","Casearia decandra","CASDEC",1364.29033090252,1196.14662798752,NA
"27","Castilla elastica","CASELA",1273.28271187715,1159.88551966901,NA
"28","Casearia guianensis","CASGUI",1398.45722971472,1177.88800198308,NA
"29","Casearia sylvestris","CASSYL",1273.40082903745,1111.57675320185,NA
"30","Cecropia schreberiana","CECSCH",1277.91811273035,1126.32201286614,NA
"31","Cedrela odorata","CEDODO",1268.36377965584,1170.96890399505,NA
"32","Ceiba pentandra","CEIPEN",1404.8738674091,1193.16077892133,NA
"33","Cestrum laurifolium","CESLAU",1320.05828933923,1163.06974333229,NA
"34","Chionanthus domingensis","CHIDOM",1276.49295606444,1150.76524103765,NA
"35","Chrysophyllum argenteum","CHRARG",1385.18920768593,1225.78563172648,NA
"36","Chrysophyllum cainito","CHRCAI",1273.23580658066,1167.40600269771,NA
"37","Chrysobalanus icaco","CHRICA",1677.99598983897,1458.18600154062,NA
"38","Chrysophyllum pauciflorum","CHRPAU",1500.32626957053,1316.05028515886,NA
"39","Cinnamomum elongatum","CINELO",1292.42847607957,1136.92994824255,NA
"40","Cinnamomum montanum","CINMON",1345.62359071072,1148.80662141946,NA
"41","Citrus x sinensis","CITSIN",1266.94215187497,1232.91577549932,NA
"42","Citharexylum spinosum","CITSPI",1356.51780363721,1145.55510715201,NA
"43","Clusia rosea","CLUROS",1502.74473661821,1476.65656979603,NA
"44","Coccoloba diversifolia","COCDIV",1555.20511272672,1499.66707374442,NA
"45","Coccoloba krugii","COCKRU",1895.47592283724,1609.26603127337,NA
"46","Coccoloba microstachya","COCMIC",1666.01569779834,1457.14657272386,NA
"47","Coccoloba pyrifolia","COCPYR",1317.25782327724,1676.6386709717,NA
"48","Coccoloba rugosa","COCRUG",1512.35032787748,1235.88634981545,NA
"49","Coccoloba sintenisii","COCSIN",1879.33891053381,4053.24573341001,NA
"50","Coccoloba uvifera","COCUVI",1273.23580658066,1167.40600269771,NA
"51","Coccoloba venosa","COCVEN",1423.27849567718,1212.71547984635,NA
"52","Coffea arabica","COFARA",1315.80408127605,1183.97270829094,NA
"53","Cojoba arborea","COJARB",1521.61208487965,1513.42102343324,NA
"54","Colubrina arborescens","COLARB",1506.86302985304,1517.72694831034,NA
"55","Comocladia dodonaea","COMDOD",1862.49612270497,1606.4304689589,NA
"56","Comocladia glabra","COMGLA",1042.09626995507,1220.40106866815,NA
"57","Conocarpus erectus","CONERE",1461.6439692202,1287.01222489142,NA
"58","Cordia alliodora","CORALL",1351.08190596565,1212.9565817817,NA
"59","Cordia borinquensis","CORBOR",1367.63124596084,1107.99221123322,NA
"60","Cordia collococca","CORCOL",1520.89675080547,1270.58794713392,NA
"61","Cordia laevigata","CORLAE",1353.9823017427,1201.67149367096,NA
"62","Cornutia obovata","COROBO",1273.23580658066,1167.40600269771,NA
"63","Cordia sulcata","CORSUL",1304.48241855301,1111.78598805561,NA
"64","Crescentia cujete","CRECUJ",1447.14010935413,1283.74121782582,NA
"65","Croton astroites","CROAST",1878.07637381607,1455.16265850026,NA
"66","Croton poecilanthus","CROPOE",1161.70333648526,NA,NA
"67","Crossopetalum rhacoma","CRORHA",1668.43074033978,1923.40384498185,NA
"68","Cupania americana","CUPAME",1332.5427478911,1146.88124034247,NA
"69","Cyathea arborea","CYAARB",1310.79760935547,1146.07363198712,NA
"70","Cyrilla racemiflora","CYRRAC",1866.72684302854,5857.62356860136,NA
"71","Dacryodes excelsa","DACEXC",1365.08484779823,1070.57894639054,NA
"72","Daphnopsis americana","DAPAME",1264.71466222903,1222.33788869039,NA
"73","Delonix regia","DELREG",1340.46387483998,1221.79061751294,NA
"74","Dendropanax arboreus","DENARB",1243.48725169512,1128.58033454543,NA
"75","Drypetes glauca","DRYGLA",1345.4978436411,1307.42005340655,NA
"76","Erithalis fruticosa","ERIFRU",1711.88216584744,1570.85728611201,NA
"77","Erythroxylum areolatum","ERYARE",1600.70501650251,1431.24489457184,NA
"78","Erythrina poeppigiana","ERYPOE",1300.7298313985,1213.47534522817,NA
"79","Erythroxylum rotundifolium","ERYROT",1699.06423822217,1319.49922496488,NA
"80","Erythroxylum rufum","ERYRUF",1770.35737585306,1704.21813510699,NA
"81","Eugenia biflora","EUGBIF",1351.38102988018,1166.09522102558,NA
"82","Eugenia borinquensis","EUGBOR",1366.9713455211,1144.44602315829,NA
"83","Eugenia confusa","EUGCON",1879.33891053381,4053.24573341001,NA
"84","Eugenia domingensis","EUGDOM",1367.8319722253,1147.16832837747,NA
"85","Eugenia ligustrina","EUGLIG",1547.14376111939,1350.36029047836,NA
"86","Eugenia monticola","EUGMON",1371.30872655956,1162.40143958187,NA
"87","Eugenia pseudopsidium","EUGPSE",1578.62039479743,1295.02524023892,NA
"88","Eugenia rhombea","EUGRHO",1428.67250791725,1249.73971160182,NA
"89","Eugenia stahlii","EUGSTA",1266.19894603731,1077.78701093866,NA
"90","Exostema caribaeum","EXOCAR",1530.56020248124,1259.96660444195,NA
"91","Exothea paniculata","EXOPAN",1347.86348328957,1269.57853573723,NA
"92","Faramea occidentalis","FAROCC",1335.63396424942,1167.95551211798,NA
"93","Ficus americana","FICAME",1354.99442694501,1151.86063935478,NA
"94","Ficus citrifolia","FICCIT",1325.04612620329,1157.68845911205,NA
