"","Code","D_51","D_71","D_91","D_00"
"1","ACNARB",1350.30802730653,1223.82790940684,1214.58738464796,1164.34931454491
"2","ADEPAV",1422.8389451082,1227.02224141473,1331.14032939834,1268.43115250261
"3","ADERIC",1578.91017180404,1310.28224926506,1271.76123721446,1232.3820869984
"4","AIPMIN",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"5","ALBLEB",1801.73411049339,1361.51580572987,1241.58844401234,1291.01594242708
"6","ALBPRO",1496.57233255818,1267.95618782184,1283.83712007661,1258.96982823889
"7","ALCLAT",1364.99190697605,1246.566534017,1094.56033999719,1047.77109819712
"8","ALLCRA",1245.79243594693,1219.24401006806,1150.75366367117,1112.79516308388
"9","ALLRAC",1212.80089025195,1391.5422059511,1286.78588424887,1294.96738831609
"10","ALSBRY",1109.46324762855,1294.87665108874,1187.41475875795,1044.90474194444
"11","ALSPOR",1379.89643504792,1298.16091698858,1175.01861915377,1085.87877117797
"12","AMYELE",1263.33177526195,1330.07500931781,1424.41611193558,1365.38801249585
"13","ANAPER",1343.68651338106,1221.96951423803,1220.54130525102,1165.22223537542
"14","ANDINE",1345.18914159635,1226.62803384675,1150.8690809506,1126.66245607204
"15","ANNGLA",1390.6187646156,1216.84048250137,1206.88571224186,1168.31370746631
"16","ANNMON",1362.85754839783,1270.19951882192,1241.96450139273,1162.42319930897
"17","ARDELL",1262.67721222889,1183.26529710616,1128.10701800233,1088.31507048074
"18","ARDGLA",1399.92410167642,1232.03905342492,1101.07587941116,1047.0666535756
"19","ARDOBO",1591.24727967843,1357.12478246531,1351.79902823508,1354.26861407264
"20","ARTALT",1440.14906463789,1238.73573547255,1125.03587270946,1120.22229529055
"21","AVIGER",1506.87484865323,1252.09653643591,1246.53850916239,1229.95109505549
"22","BADPEN",1867.0985956481,1671.24808219872,1421.64805126554,1374.06791517651
"23","BIXORE",1276.59219883041,1181.21222752328,1163.93828971052,1111.0240998684
"24","BOCFRU",1350.30802730653,1223.82790940684,1214.58738464796,1164.34931454491
"25","BONUMB",1774.25271364851,1655.16013857018,1484.37166518628,1443.70394553007
"26","BOUSUC",1377.17276024111,1272.38227798725,1282.63689056117,1263.35553890893
"27","BOUVIR",1497.11922556947,1475.93555538837,1495.16186667425,1459.67935945722
"28","BRUAME",1271.80928740416,1176.75769099868,1171.33521706418,1112.27855372655
"29","BRUDEN",1333.52923111115,1214.23315140141,1114.35494923944,1082.11331366203
"30","BRULAC",1012.75410612644,1161.93187820989,997.289529808143,968.132881200533
"31","BUCBUC",1375.31499892924,1195.81192565243,1178.13615236906,1165.62722366832
"32","BUCTET",1330.42471169807,1248.94369408877,1178.81323252211,1071.00574385233
"33","BUNGLA",1518.92145547346,1300.86034079845,1311.57026283045,1231.08917051992
"34","BURSIM",1499.215572044,1401.12297547762,1389.86794710132,1354.77727126133
"35","BUXPOR",1368.83816082913,1369.6664487908,1295.68875791256,1307.79148627694
"36","BUXVAH",1277.43357767395,1192.36714674244,1167.14152834128,1118.45096095142
"37","BYRCRA",1695.14797221765,1512.35635400008,1528.75254791438,1297.31532087122
"38","BYRLUC",1431.54331191557,1319.62296027161,1239.66506326544,1263.72652255811
"39","BYRSPI",1667.28628554603,1315.7021592142,1345.69638947163,1306.48376684389
"40","BYRWAD",1257.92272357923,1297.02652061598,1067.60692938697,1070.16904137291
"41","CALANT",1417.37652387804,1245.99877206748,1193.2189784525,1206.1789722095
"42","CALKRU",1206.78324930071,1509.04047494321,1212.94436804773,1157.25400113816
"43","CALPAL",1752.52273342656,1636.39515397388,1641.00183174198,1625.14007506395
"44","CANWIN",1620.31619647393,1313.1167219688,1289.59289528013,1267.33485517902
"45","CAPFRO",1997.12891998345,1457.49373136427,1587.38686153382,1388.61612376136
"46","CASACU",1394.44291790745,1227.15176540447,1228.8642870235,1188.3085309693
"47","CASARB",1320.52259343654,1207.00575294604,1122.93184139475,1026.72042077253
"48","CASDEC",1369.63238524968,1245.73478211463,1202.39408776944,1184.32472644921
"49","CASELA",1275.08424119104,1178.85625130357,1161.06306492212,1107.6659541048
"50","CASEQU",1785.83950827733,1620.31013940753,1707.56199264334,1659.05019539418
"51","CASGUI",1403.4494223774,1225.12907749098,1143.32326711069,1153.25222934037
"52","CASSYL",1274.17810378456,1175.57120347642,1111.28193068155,1082.29211871651
"53","CECSCH",1278.17221457668,1226.63651875669,1127.39772035152,1063.70283010531
"54","CEDODO",1271.80928740416,1176.75769099868,1171.33521706418,1112.27855372655
"55","CEIPEN",1407.74566809745,1215.07833699068,1194.35907869969,1160.28113223707
"56","CELTRI",1743.33374463685,1486.2740795536,1465.87658014112,1501.70481750981
"57","CESCIT",1264.96171480856,1167.14857321185,1143.50014254503,1089.69693342194
"58","CESLAU",1319.81534707197,1217.6104157496,1161.83786371235,1109.66502958718
"59","CESMAC",1253.9032272117,1225.87435757036,1140.82791855253,1064.81206297471
"60","CHICOM",1376.57169830913,1212.16728549406,1193.91755081682,1210.51795154731
"61","CHIDOM",1275.4244433945,1187.51090042694,1151.99928691259,1087.92636589264
"62","CHIHOL",1924.05311099475,1695.49490140965,1521.30083809465,1485.5800562427
"63","CHIVEN",1360.09951991654,1193.55663421437,1154.23267509712,1149.00334607839
"64","CHRARG",1390.55312408412,1229.73990173875,1229.04884092626,1196.03196401518
