"","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"ACNARB",3957,9055,14746,14337,10380
"ADEPAV",2339,3973,3393,3761,1422
"ADERIC",1721,4398,3874,4558,2837
"AIPMIN",5946,11780,15644,15873,9927
"ALBLEB",604,2014,3599,3622,3018
"ALBPRO",1189,2580,4732,4792,3603
"ALCLAT",2789,6347,9995,9318,6529
"ALLCRA",3924,7543,11343,11624,7700
"ALLRAC",2516,4024,3359,3812,1296
"ALSBRY",1036,1442,1798,1676,640
"ALSPOR",2147,5302,10017,9370,7223
"AMYELE",2760,4466,3822,4335,1575
"ANAPER",4290,9475,15180,14782,10492
"ANDINE",3054,7271,10917,10913,7859
"ANNGLA",3726,7108,8157,8864,5138
"ANNMON",1026,2246,4335,4541,3515
"ARDELL",5121,10473,14620,14632,9511
"ARDGLA",932,2353,3058,2692,1760
"ARDOBO",2960,4801,4069,4566,1606
"ARTALT",995,3543,6447,6536,5541
"AVIGER",1531,3568,5217,5533,4002
"BADPEN",678,1082,1780,1777,1099
"BIXORE",6473,13079,18105,18149,11676
"BOCFRU",3957,9055,14746,14337,10380
"BONUMB",971,1620,1416,1609,638
"BOUSUC",2482,5249,4460,5286,2804
"BOUVIR",2869,4675,3935,4529,1660
"BRUAME",6806,13499,18539,18594,11788
"BRUDEN",2938,6869,11695,11265,8327
"BRULAC",467,542,595,559,92
"BUCBUC",4413,9353,11972,12714,8301
"BUCTET",3175,6846,11130,10457,7282
"BUNGLA",1466,3086,4107,4602,3136
"BURSIM",2406,4124,3121,3801,1395
"BUXPOR",3376,5743,6254,6533,3157
"BUXVAH",5970,11854,15744,16021,10051
"BYRCRA",575,1007,2700,2790,2215
"BYRLUC",1582,2922,4483,4837,3255
"BYRSPI",898,2726,3534,3113,2215
"BYRWAD",1521,2353,3495,3161,1640
"CALANT",3323,6745,7175,7127,3804
"CALKRU",1421,2127,2621,2423,1002
"CALPAL",1153,1951,1507,1785,632
"CANWIN",1138,2913,2888,3481,2343
"CAPFRO",352,589,413,575,223
"CASACU",3240,6222,7073,7793,4553
"CASARB",2346,5007,8484,7723,5377
"CASDEC",3133,7242,7794,7806,4673
"CASELA",6497,13153,18205,18297,11800
"CASEQU",1158,1727,1458,1686,528
"CASGUI",3230,7624,8504,8585,5355
"CASSYL",4699,9972,15647,15140,10441
"CECSCH",3156,6756,12562,11881,8725
"CEDODO",6806,13499,18539,18594,11788
"CEIPEN",3304,6475,7714,8357,5053
"CELTRI",588,1157,986,1273,685
"CESCIT",5981,12192,17515,17353,11372
"CESLAU",4209,9413,13321,13242,9033
"CESMAC",3836,6837,10603,9993,6157
"CHICOM",2675,5299,5412,5345,2670
"CHIDOM",4245,8076,10138,9938,5693
"CHIHOL",674,1143,947,1092,418
"CHIVEN",3178,6521,7103,6915,3737
"CHRARG",3400,7116,7755,7662,4262
"CHRCAI",5946,11780,15644,15873,9927
"CHRICA",927,1542,2602,2610,1683
"CHROLI",1401,2694,3464,3765,2364
"CHRPAU",1659,4018,5959,6282,4623
"CINELO",4074,9202,14437,14093,10019
"CINMON",3409,7820,10095,9901,6492
"CITCAU",1556,3199,4091,3733,2177
"CITSIN",1526,3983,6626,6271,4745
"CITSPI",3083,7640,9348,9653,6570
"CLIEGG",1933,4237,7013,6493,4560
"CLIERO",882,1095,1278,1221,339
"CLIHIR",3981,9129,14846,14485,10504
"CLUCLU",1242,2188,3399,3216,1974
"CLUGUN",2298,4454,7209,6638,4340
"CLUMIN",4231,7137,7401,7942,3711
"CLUROS",2893,4497,4027,4488,1595
"COCCOS",2082,3337,2854,3223,1141
"COCDIV",3371,5418,4506,5221,1850
"COCKRU",658,1071,806,979,321
"COCMIC",956,1731,1616,1857,901
"COCPUB",2897,5009,5012,5457,2560
"COCPYR",1843,2625,3471,3251,1408
"COCRUG",1573,4508,5999,5504,3931
"COCSIN",333,420,434,445,112
"COCSWA",2322,5070,8232,7795,5473
"COCUVI",5946,11780,15644,15873,9927
"COCVEN",3352,7536,7689,8330,4978
"COFARA",2528,6205,11490,11233,8705
"COJARB",3674,5751,4817,5498,1824
"COLARB",2253,3615,3187,3652,1399
"COLELL",548,861,530,701,153
"COLVER",907,1984,1959,2300,1393
"COMDOD",860,1516,1108,1396,536
"COMGLA",1821,2865,2453,2750,929
"CONERE",1876,3420,4228,4708,2832
"CORALL",2341,6107,11161,10800,8459
"CORBOR",2369,5731,8694,7933,5564
"CORCOL",959,3064,5177,5553,4594
"CORHIR",832,1409,1012,1318,486
"CORLAE",4406,9120,11523,12161,7755
"COROBO",5946,11780,15644,15873,9927
"CORRIC",2553,5016,6060,6700,4147
"CORSUL",1965,4607,9054,8331,6366
"CRECUJ",3322,5718,6103,6775,3453
"CRELIN",860,1571,1485,1770,910
"CREPOR",1164,1740,1481,1706,542
"CRIPOR",5454,10893,15054,15077,9623
"CROAST",770,1673,1673,2020,1250
"CROBET",1616,3174,2922,3558,1942
"CRODIS",707,1239,910,1144,437
"CROFLA",1215,2549,1860,2378,1163
"CROGLA",742,1226,809,1060,318
"CROIMP",1014,1992,4062,4078,3064
"CROPOE",588,787,839,797,209
"CRORHA",641,1120,782,959,318
"CSSGUI",3913,8059,10871,10321,6408
"CUPAME",3880,8071,11789,11859,7979
"CYAARB",2569,5872,9975,9320,6751
"CYABOR",5981,12192,17515,17353,11372
"CYNFLE",1882,3077,2414,2871,989
"CYNHAS",913,1886,1430,1914,1001
"CYNPOR",2126,3499,2740,3249,1123
"CYRRAC",718,799,837,815,97
"DACEXC",2059,4244,6836,6191,4132
"DAPAME",1152,2213,3803,3423,2271
"DAPHEL",2045,3145,2482,2861,816
"DAPPHI",2420,4668,8031,7372,4952
"DELREG",3763,8176,12719,12506,8743
"DENARB",4437,8583,13929,13393,8956
"DENLAU",1911,4707,7659,7262,5351
"DIOSIN",2855,4457,3816,4277,1422
"DITMYR",794,1148,1464,1264,470
"DRYALB",3253,5587,6020,6336,3083
"DRYGLA",1501,2151,2581,2399,898
"DRYILI",2743,4411,3701,4197,1454
"ELAXYL",2230,3874,3725,4188,1958
"ERIFRU",1727,2893,2311,2743,1016
"ERYARE",678,1127,718,953,275
"ERYBER",4290,9475,15180,14782,10492
"ERYBRE",1867,3587,2735,3295,1428
"ERYPOE",3743,7139,11946,11913,8170
"ERYROT",1324,2585,2240,2792,1468
"ERYRUF",1158,1727,1458,1686,528
"ERYURB",3680,5764,4840,5518,1838
"EUGAXI",901,1738,1382,1726,825
"EUGBIF",3607,8424,9527,9873,6266
"EUGBOR",1368,2828,3543,3168,1800
"EUGCON",333,420,434,445,112
"EUGCOR",1072,2888,6110,6201,5129
"EUGDOM",3464,7309,7913,7710,4246
"EUGEGG",2099,4196,6892,6331,4232
"EUGFOE",2209,3664,2881,3433,1224
"EUGLIG",1946,3379,2872,3465,1519
"EUGMON",4305,9806,10669,11180,6875
"EUGPAD",2855,4457,3816,4277,1422
"EUGPSE",2927,6104,6131,6277,3350
"EUGRHO",1807,4563,6465,6993,5186
"EUGSTA",1979,3504,5772,5189,3210
"EUGSTE",3465,8168,14156,13541,10076
"EUGWOO",563,926,692,857,294
"EUPPET",836,1580,1176,1572,736
"EXOCAR",918,1875,1351,1826,908
"EXOPAN",2493,4613,4062,4372,1879
"FAROCC",3379,7334,8116,8089,4710
"FICAME",3172,6873,9469,8864,5692
"FICCIT",4622,10099,12419,12911,8289
"FICCRA",5946,11780,15644,15873,9927
"FICTRI",3957,9055,14746,14337,10380
"FORSEG",495,763,461,631,136
"GARHES",565,1159,1694,1722,1157
"GARPOR",1027,3117,4064,3692,2665
"GAUATT",1023,1755,2554,2813,1790
"GENAME",2475,6421,8315,8039,5564
"GESPED",3025,5764,9096,9145,6120
"GOEELE",1654,3910,4043,4009,2355
"GOMLIN",1536,3613,6148,5708,4172
"GONHIR",5031,9700,15090,14460,9429
"GONPOR",528,620,669,634,106
"GOSHIR",654,1261,1210,1534,880
"GUABLA",2045,3578,6406,6143,4098
"GUACAR",533,705,815,769,236
"GUAFRA",3668,8665,9387,9578,5910
"GUAGLA",1917,3216,5202,4666,2749
"GUAGUI",4172,9466,15307,14937,10765
"GUAOBT",2855,4457,3816,4277,1422
"GUAOFF",777,1493,1069,1352,575
"GUASAN",360,528,356,423,63
"GUAULM",1381,4310,7594,7648,6267
"GUEELL",853,1723,1207,1546,693
"GUEKRU",622,1026,659,863,241
"GUEOVA",2910,5932,9118,8675,5765
"GUEPUN",1863,3231,3793,3962,2099
"GUESCA",3306,5571,5376,5875,2569
"GUEVAL",1642,4576,6318,5986,4344
"GYMLAT",3276,5301,4322,5041,1765
"GYMLUC",2484,4096,3318,3877,1393
"HAESAL",1205,1799,2114,1917,712
"HAMAXI",3874,6643,6867,7349,3475
"HEDARB",996,1806,2270,1959,963
"HELJAM",2371,4066,3892,4465,2094
"HENFAS",3132,7748,13722,13096,9964
"HENMAC",2076,4061,6688,6117,4041
"HENSQU",1605,2415,3340,3048,1443
"HIBELA",3424,7743,12262,12041,8617
"HIBTIL",5115,10460,14597,14612,9497
"HIECLU",6279,12200,16078,16318,10039
"HIPMAN",1489,2797,3774,4065,2576
"HIRRUG",2179,4719,7391,6670,4491
"HIRTRI",3957,9055,14746,14337,10380
"HOMRAC",1735,4841,6538,5981,4246
"HURCRE",2004,4287,8285,8371,6367
"HYMCOU",1629,4476,6964,7230,5601
"HYPTRI",442,693,498,580,138
"ILENIT",1445,1779,3410,3329,1884
"ILESID",3489,8242,14256,13689,10200
"ILEURB",2849,4444,3793,4257,1408
"INDSUF",1630,2781,2690,3071,1441
"INGLAU",2435,6004,10928,10372,7937
"INGVER",2822,7233,12897,12489,9667
"IXOFER",3191,6529,7099,6922,3731
"JACARB",634,1130,693,984,350
"JACBER",736,1292,989,1233,497
"JATGOS",814,1336,1400,1699,885
"JATHER",4067,7654,9185,9753,5686
"KOAPOL",4290,9475,15180,14782,10492
"KRUFER",2247,4138,3213,3973,1726
"LAEPRO",3126,7735,13699,13076,9950
"LAGRAC",1025,1673,1503,1752,727
"LANCAM",1618,3481,3081,3750,2132
"LANINV",1692,3543,4470,5037,3345
"LEULEU",1805,3658,4198,4855,3050
"LICBRI",333,420,434,445,112
"LICPAR",3207,5765,5429,6004,2797
"LONGLA",1392,2142,1770,2040,648
"LONHEP",5454,10893,15054,15077,9623
"LONSER",3674,5751,4817,5498,1824
"LYOSTA",1882,4591,7147,6876,4994
"MACLUN",1168,2491,3679,3793,2625
"MACPOR",969,2047,2113,2423,1454
"MAGPOR",1143,1462,2002,1837,694
"MAGSPL",3132,7748,13722,13096,9964
"MALCOC",5060,10098,12919,13476,8416
"MALFUC",1038,2251,2473,2251,1213
"MAMAME",2825,5794,6231,6122,3297
"MANBID",1508,2837,3368,3188,1680
"MANIND",1259,4394,8309,8125,6866
"MANPLE",3698,5825,4917,5646,1948
"MARMIC",6473,13079,18105,18149,11676
"MARNOB",3122,6433,6991,6818,3696
"MATDOM",1946,3412,5617,5028,3082
