"","X","SCIENTIFIC_NAME","CODE","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","AI_51","AI_77","AI_91","AI_00","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"1",1,"Adenanthera pavonina","ADEPAV",6.57343269140286,NA,5.42580750113059,NA,6.37425858513594,6.67707804616547,2338,3974,3399,3764,1426,95.5617760651048,94.4168197356896,94.9469690119951,94.6179654840461,-0.463149552436991,-0.954221027141051,0.146089311664512,0.134589106710896,-1.03692013653816,-0.156938032511044,-0.520374838840706,-0.673224628474352
"2",2,"Adelia ricinella","ADERIC",0.109412124750511,NA,2.86913647002438,NA,3.68917000291826,4.58579283232383,1717,4397,3878,4561,2844,95.8690029632839,91.7284330947312,92.1229843233555,91.2524556299832,0.749580749079947,-1.10940947190655,-0.10518610525933,-0.0350384673630577,-1.3335658012916,0.428092784718839,0.355990210035774,-1.61254272017852
"3",5,"Alchornea latifolia","ALCLAT",7.15182027651186,NA,3.44771554647551,NA,4.25381405060263,4.25273591246169,2783,6350,9999,9313,6530,94.2866438193901,91.3527334169915,89.1989973832486,88.7460336098636,-1.43900502618608,-0.690046426538957,-0.0729148393198146,0.310973142303816,1.39557431444006,-0.181806134457923,-1.65781769660926,0.870195571973562
"4",6,"Allophylus crassinervis","ALLCRA",NA,NA,NA,NA,NA,1.47708877074157,3915,7540,11343,11617,7702,91.7110920460824,89.2898224858024,87.8431739680532,86.2726197644923,1.11226257560247,-0.415159753760782,-0.106800214812163,-0.307332043078405,-0.858932737686093,0.117423084763963,0.812591684259838,-1.02494255490432
"5",7,"Allophylus racemosus","ALLRAC",NA,NA,NA,NA,0.0272548719243315,0.0593231475875186,2513,4023,3363,3813,1300,95.5333650662174,94.857864814463,95.6016424354278,95.032810412948,0.00915802787092177,-0.444284909097889,-0.0613399274067978,1.3791432568089,-0.858932737686093,-0.18372719533332,-0.887387054640819,-0.813629372215453
"6",9,"Amyris elemifera","AMYELE",7.54319705205847,17.5311437692308,9.4690378974336,17.5610360296756,10.6173497033184,14.486922872619,2757,4467,3824,4337,1580,95.1162249317918,94.199537835335,94.9101204375579,94.1847731001806,1.27995620127449,-0.234412904127052,-0.10445269621607,-0.897087386356494,-0.858932737686093,-0.178179171525175,1.25963483332223,-0.798465911844609
"7",11,"Andira inermis","ANDINE",22.0621297567852,NA,21.6664524893442,NA,18.517430133411,17.5742380644596,3049,7268,10933,10904,7855,91.8574403527356,87.0367908762098,84.7998979570302,83.8211091293486,0.305907226034734,-0.861189924895294,-0.0301272095117994,0.664931151664166,1.51423258034144,-0.0875560280792507,-1.08123277275275,0.216264197244739
"8",12,"Ardisia obovata","ARDOBO",12.0816224317576,NA,16.113078199024,NA,17.8417313469806,21.5674816872549,2958,4803,4070,4570,1612,94.6478897780258,93.201628942614,93.9030998968506,93.42227655059,0.680709208702292,1.44075198107366,-0.0995723100972377,-0.942377771740248,-0.384299674080587,-0.0738968080568306,1.66975852100192,0.36240960291099
"9",13,"Artocarpus altilis","ARTALT",0.723724247637549,NA,1.12080170922238,NA,1.66200009343863,2.16978684106696,991,3550,6452,6533,5542,96.1731915551874,92.2623797757693,90.1124943410518,89.4524341313893,-1.34463012473925,0.379088153206095,0.0380870180059945,0.759889727991123,0.0903333895249189,0.547326614624578,-0.828512603689026,0.378627672094229
"10",15,"Bourreria virgata","BOUVIR",1.02861777982615,NA,0.676359849816685,NA,1.01794709115772,1.87602253722072,2866,4675,3938,4533,1667,94.8813581531316,93.5016159519971,94.1472833945049,93.3152329712411,0.674486615176817,0.404224310313679,-0.107905463893546,-0.821838286702707,-0.0283248763764576,-0.183415946169353,0.985023037504703,0.0988542076173913
