"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","species"
"1","H","5","fc.H_rm.5",0.715480956780618,NA,0.0325608253772713,0.293047428395442,0.68899240324402,0.238396981829381,NA,NA,0.1,0.9,0.1,0.9,218.779661034841,0,0.873365975573295,3,"ACNARB"
"2","LQ","1","fc.LQ_rm.1",0.837165203402304,0.823,0.172447673117759,0.0936564970910676,0.713012999029258,0.154153303104187,0.618,0.169502212374942,0.276190476190476,0.239614202388745,0.228571428571429,0.206031501455085,336.805765240403,17.3059365420297,9.53499118469047e-05,8,"ADEPAV"
"3","LQH","5","fc.LQH_rm.5",0.787013271992615,0.863,0.0721861122816923,0.0822669648170055,0.713259502993661,0.0782811229909158,0.50175,0.301713302104277,0.192612942612943,0.18337084793923,0.0992063492063492,0.134920634920635,704.507507294465,10.6752061408667,0.0030280649012236,5,"ADERIC"
"4","H","4","fc.H_rm.4",0.633552327670277,NA,0.105793084569454,0.528965422847269,0.549068418621362,0.422419545244572,NA,NA,0.166666666666667,0.833333333333333,0.166666666666667,0.833333333333333,144.419983361788,0,0.335148821044384,3,"AIPMIN"
"5","L","4","fc.L_rm.4",0.806295896882863,0.514,0.0957071080224802,0.0654052960196926,0.75930802010164,0.0959698231884279,0.44425,0.402286278662348,0.25,0.204124145231932,0.1875,0.239356776939085,273.370681279826,3.64638330895207,0.0346408692441286,3,"ALBLEB"
"6","H","5","fc.H_rm.5",0.793788182144874,0.881,0.0746040303572651,0.14920806071453,0.612761938277909,0.00177374679535003,NA,NA,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,226.043222892179,4.02056277685918,0.0446610450484979,4,"ALBPRO"
"7","L","5","fc.L_rm.5",0.779340423631649,0.878,0.0735538133689528,0.0480587967589931,0.749905034734795,0.0682858455733622,0.537,0.412138326293491,0.107360793287567,0.152387875327516,0.0339912280701754,0.0412023996229297,1448.0553862429,22.827422596212,4.46482014502733e-06,7,"ALCLAT"
"8","L","4","fc.L_rm.4",0.664658315167732,0.658,0.193537451628423,0.140560849384749,0.476312829606872,0.0864198070234172,0.0345,0.454944318937311,0.178787878787879,0.137001873399483,0.133333333333333,0.163299316185545,698.432479650081,17.625448343858,4.92825363808132e-05,6,"ALLCRA"
"9","L","5","fc.L_rm.5",0.679304057524396,-0.205,0.106752931305568,0.204148644162929,0.500629177807013,0.143946573307351,NA,NA,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,425.111163817054,3.0052435770753,0.054695654046952,3,"ALLRAC"
"10","L","5","fc.L_rm.5",0.801351212494862,NA,0.079116354948104,0.158232709896208,0.759305978499309,0.0833048115365363,NA,NA,0.25,0.5,0.125,0.25,258.740467784633,15.3088916254425,0.00013141292840216,5,"ALSBRY"
"11","LQ","1","fc.LQ_rm.1",0.784739709132021,0.746,0.34835027511244,0.264036824510581,0.439476393029258,0.2713606211188,0.22425,0.824497574283879,0.49047619047619,0.352380952380952,0.49047619047619,0.352380952380952,362.542330666151,20.6974277501057,6.40488712162179e-06,8,"ALSPOR"
"12","H","3","fc.H_rm.3",0.755736259213804,0.919,0.0854976145013599,0.0870308876044206,0.68472234637708,0.0779789208854273,0.1835,0.495428097709446,0.100961538461538,0.0766331788052534,0.0817307692307692,0.0681168296123721,713.281175726822,6.94025477881587,0.00551917442094685,8,"AMYELE"
"13","H","4","fc.H_rm.4",0.646640661089155,NA,0.131281116871118,0.415148073179849,0.534470221902855,0.355054977291053,NA,NA,0.333333333333333,1.05409255338946,0.333333333333333,1.05409255338946,133.459362048421,0,0.499007533440062,2,"ANAPER"
"14","L","5","fc.L_rm.5",0.651803647495722,0.923,0.0647519183719218,0.037293703290563,0.633035828669501,0.0594559772872702,0.5675,0.282482447832309,0.113997113997114,0.0932272744889645,0.0277777777777778,0.0555555555555556,1454.4299130754,0.290520168073044,0.247010472986275,4,"ANDINE"
"15","L","5","fc.L_rm.5",0.701299729526157,0.397,0.134821953838671,0.137569942719589,0.571744955040235,0.189299999183313,-0.31675,0.628401875129814,0.333333333333333,0.384900179459751,0.333333333333333,0.384900179459751,257.932466162463,0,0.409055682153105,2,"ANNGLA"
"16","H","3","fc.H_rm.3",0.875167559365927,0.644,0.165681205369916,0.184656230652229,0.828450502513811,0.209362582994915,NA,NA,0.25,0.5,0.25,0.5,233.953860295326,41.171012986027,7.35887113406051e-10,6,"ANNMON"
"17","H","5","fc.H_rm.5",0.693121149897331,NA,0.074783073744826,0.129528083272209,0.679997222217121,0.0385384031138261,NA,NA,0.333333333333333,0.577350269189626,0.333333333333333,0.577350269189626,220.744052543671,0.0686173118378122,0.1641000168735,4,"ARDELL"
"18","H","1","fc.H_rm.1",0.94222148075903,0.603,0.0498138823686794,0.113985904407713,0.919806478106873,0.175275742189036,NA,NA,0.166666666666667,1.23603308118261,0.0833333333333333,0.916666666666667,448.61863253989,223.055225496434,8.14322106709393e-50,10,"ARDGLA"
"19","L","1","fc.L_rm.1",0.718647691790509,0.806,0.0714060052661839,0.071177196733753,0.684932824099409,0.0759278949796239,0.47,0.172238207143479,0.110042735042735,0.184912411421538,0.0908119658119658,0.146939583307301,1068.94305123642,0.542019829008723,0.157343087289163,9,"ARDOBO"
"20","L","3","fc.L_rm.3",0.777282458867349,1,0.148141698683169,0.652495549328951,0.644466521981406,0.541017338828067,NA,NA,0.142857142857143,0.857142857142857,0.142857142857143,0.857142857142857,NA,NA,NA,6,"ARTALT"
"21","LQ","5","fc.LQ_rm.5",0.879269441589585,0.269,0.0553368160422432,0.0568904120504208,0.837426452106581,0.0706988347707699,0.32775,0.562475703178961,0.25,0.288675134594813,0.1875,0.239356776939085,377.465345175433,2.26250589011391,0.0692757727393238,5,"AVIGER"
"22","LQH","1","fc.LQH_rm.1",0.883645148026316,0.675,0.0450686279435804,0.034007791244719,0.846814829009182,0.0291119859173411,0.22925,0.379130034860512,0.133333333333333,0.163299316185545,0.133333333333333,0.163299316185545,392.515033476276,23.4386197860941,5.06417765844302e-06,10,"BADPEN"
"23","L","5","fc.L_rm.5",0.588842656803822,NA,0.0322162678020849,0.0644325356041697,0.567811998653331,0.042097834337992,NA,NA,0.0714285714285714,0.142857142857143,0.0714285714285714,0.142857142857143,408.972591623627,0.0163744122157823,0.165084509344688,2,"BIXORE"
"24","L","1","fc.L_rm.1",0.807377505091475,0.672,0.145470657499713,0.118956830949218,0.681245569652661,0.11034320859784,0.117,0.345655898257212,0.166666666666667,0.192450089729875,0.166666666666667,0.192450089729875,313.23071846501,52.7656326052982,2.34795323755926e-12,8,"BOCFRU"
"25","H","5","fc.H_rm.5",0.876633021710842,0.89,0.0851829136279416,0.0441820100706827,0.676588942144616,0.163407692150942,0.333333333333333,1.15470053837925,0.15,0.13228756555323,0.15,0.13228756555323,247.285853066563,14.5202663790955,0.000458242706870385,5,"BONUMB"
"26","L","1","fc.L_rm.1",0.790723663510418,0.929,0.0448019133083996,0.0444946684790068,0.777317281567329,0.0485708840093941,0.67425,0.123235208713527,0.105714285714286,0.107867391502993,0.04,0.0565685424949238,1720.03870476292,0,0.218046463384888,7,"BOUSUC"
"27","H","3","fc.H_rm.3",0.860141994559087,0.928,0.0516073337813343,0.0195723536645761,0.849425511520744,0.0485628210384345,0.553,0.333530608290554,0.090625,0.0744093252568869,0.0461805555555556,0.0311262983764097,1369.417465261,13.5572414813146,0.000233866379930047,10,"BOUVIR"
"28","H","4","fc.H_rm.4",0.519939437487169,NA,0.222831187494501,0.630261774948851,0.350639352435698,0.484290403008712,NA,NA,0.428571428571429,1.21218305346265,0.428571428571429,1.21218305346265,151.903956208143,0.00561187021691012,0.16623730879785,1,"BRUAME"
"29","H","5","fc.H_rm.5",0.75096237745727,NA,0,0,0.75096237745727,0,NA,NA,0,0,0,0,180.494008458573,0,0.499909714486928,4,"BRUDEN"
"30","H","5","fc.H_rm.5",0.936846518472885,0.601,0.0892744908636796,0.145581705918811,0.783282552688295,0.124995763601796,NA,NA,0.333333333333333,0.577350269189626,0.333333333333333,0.577350269189626,NA,NA,NA,8,"BRULAC"
"31","L","2","fc.L_rm.2",0.751786542325725,0.807,0.0555091698189908,0.0539020936251251,0.726192520143274,0.0601101431236114,0.0955,0.17018715188482,0.132440476190476,0.0527348703732927,0.0645833333333333,0.0746519702798705,1261.35238305709,3.41696566174232,0.0734304676259832,7,"BUCBUC"
"32","LQ","3","fc.LQ_rm.3",0.801958759078833,0.772,0.0830296476743725,0.0625228530218385,0.748417249405038,0.0737134540893012,0.31075,0.667261255681261,0.136458333333333,0.179227218450026,0.065625,0.094303919147969,772.329256770488,4.99763225697961,0.020799768932672,7,"BUCTET"
"33","LQH","4","fc.LQH_rm.4",0.839666563965629,0.889,0.296949473084698,0.146354092333865,0.640308200184257,0.24761985771515,0.34275,0.574053060846005,0.45,0.412310562561766,0.45,0.412310562561766,310.553039864546,8.66050567486661,0.00726069751061744,4,"BUNGLA"
"34","H","2","fc.H_rm.2",0.767838714660899,0.852,0.0323194259463149,0.0198123278647317,0.751294190172253,0.0289247779572527,0.30925,0.19259867600791,0.0801767676767677,0.076104005888483,0.0227272727272727,0.0454545454545455,1038.61369139871,13.4049341241669,0.000350307238432631,9,"BURSIM"
"35","H","3","fc.H_rm.3",0.725017977297242,0,0.0632885808311853,0.0611411991628622,0.743056484767884,0.0625775905783393,NA,NA,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,252.278443937699,3.13374743494438,0.058525219829459,4,"BUXPOR"
"36","H","5","fc.H_rm.5",0.613699404150401,NA,0.0193135693366901,0.0386271386733802,0.599361484907166,0.0287030984516306,NA,NA,0.05,0.1,0.05,0.1,258.611419389102,0.0247879728872817,0.28976177128495,2,"BUXVAH"
"37","LQ","5","fc.LQ_rm.5",0.829870063146882,0.823,0.104243663149227,0.0705764927013136,0.768603240694509,0.0647134802962321,0.02275,0.453694739518398,0.1875,0.239356776939085,0.1875,0.239356776939085,239.095449749376,9.59587773657168,0.00518257809902648,4,"BYRCRA"
"38","L","1","fc.L_rm.1",0.809203743041248,0.892,0.13515422268705,0.101359280339746,0.74540123730134,0.126568622258303,0.561,0.290561525326393,0.208333333333333,0.315494908100015,0.125,0.25,603.96240216275,1.45390692392562,0.127933102915397,9,"BYRLUC"
"39","L","5","fc.L_rm.5",0.731214221216983,0.676,0.0344795518056976,0.023793659628485,0.728331818650905,0.0266263762041175,0.477,0.241773999153479,0.097985347985348,0.0777687682987624,0.0595238095238095,0.0789672569132238,989.040241898087,7.11162141474335,0.0221321680831874,5,"BYRSPI"
"40","L","2","fc.L_rm.2",0.888609571203302,0.92,0.0481884541613171,0.0551563891457732,0.870657516183661,0.0637600133810078,0.61475,0.164441225569097,0.15,0.238047614284762,0.15,0.238047614284762,433.364839328849,4.03356230049417,0.0683969960662698,6,"BYRWAD"
"41","LQH","1","fc.LQH_rm.1",0.782475334682352,0.859,0.137224369230553,0.0680708528548425,0.660071806391814,0.0604429343743343,0.62025,0.0680214426976278,0.235930735930736,0.187251331202443,0.177489177489177,0.158112401452378,970.108476054554,24.8929818595698,7.97367780349713e-07,14,"CALANT"
"42","H","1","fc.H_rm.1",0.923435888932724,0.886,0.0660515781178837,0.0274198756948124,0.904268655416381,0.0673358630421788,0.41575,0.544632215352709,0.170454545454545,0.235823976004142,0.0454545454545455,0.0909090909090909,504.036253814753,28.2844218748615,3.49341387318416e-07,13,"CALKRU"
"43","H","3","fc.H_rm.3",0.886942044504423,0.814,0.2,0.282842712474619,0.652599876171606,0.169927840146541,NA,NA,0.4,0.565685424949238,0.4,0.565685424949238,NA,NA,NA,6,"CALPAL"
"44","L","1","fc.L_rm.1",0.932240418456343,0.837,0.319573808092796,0.250118462362167,0.626369404378844,0.252859446169609,-0.672,0.568112664882592,0.511111111111111,0.428606700488576,0.511111111111111,0.428606700488576,205.510018511233,29.3934021775106,1.49418326931503e-07,6,"CAPFRO"
"45","LQ","1","fc.LQ_rm.1",0.793627350251721,0.61,0.2597296655653,0.167999004790936,0.558971307624523,0.142276805636947,-0.07375,0.283407098240911,0.364583333333333,0.270833333333333,0.364583333333333,0.270833333333333,395.402694546848,11.5120946670276,0.000431902410709644,7,"CASACU"
"46","LQH","4","fc.LQH_rm.4",0.802170921637018,0.938,0.0496886963232446,0.040626767163463,0.771826159052772,0.0508274491815596,0.6745,0.129536352683973,0.124158249158249,0.0839095137256107,0.0300925925925926,0.0395555728949886,1672.73614049688,0.69639060398481,0.348104391478426,7,"CASARB"
"47","L","4","fc.L_rm.4",0.626167644182293,0.711,0.191780612710745,0.0509859362823281,0.5291739730377,0.125997926671664,-0.289,0.209855505844696,0.168181818181818,0.159995025940437,0.0560606060606061,0.039081903277077,1094.57364208763,5.07901854610873,0.0335077960216344,3,"CASDEC"
"48","H","4","fc.H_rm.4",0.70192521652802,0.933,0.202158381173088,0.242304854771799,0.476288120400135,0.140672634920968,NA,NA,0.375,0.478713553878169,0.375,0.478713553878169,259.471680913523,0,0.312977502694972,2,"CASELA"
"49","H","2","fc.H_rm.2",0.911047451624493,0.808,0.0601650889786701,0.0928145272256984,0.880588205101884,0.149458907826711,NA,NA,0,0,0,0,243.260708045588,54.9147392025338,1.06378892856009e-13,6,"CASEQU"
"50","LQH","3","fc.LQH_rm.3",0.818357995999059,0.644,0.032590661539274,0.0135695805148457,0.817110094748154,0.0295349833945011,0.53775,0.0929708735751866,0.0728021978021978,0.10105260526236,0.0192307692307692,0.0384615384615385,1026.03742475047,1.37581580368965,0.0820378319832294,7,"CASGUI"
"51","LQH","2","fc.LQH_rm.2",0.664404299211845,0.837,0.0627980478856681,0.0257686969708037,0.650991228254433,0.0604720810762823,0.275,0.443336591466724,0.0793478260869565,0.0559474728897322,0.0576086956521739,0.0453752817520385,1763.89950832979,17.1779574325321,4.18749104321479e-05,11,"CASSYL"
"52","L","2","fc.L_rm.2",0.690060585499977,0.84,0.0813405889001287,0.122209408538262,0.61771443955316,0.111329959610257,0.32025,0.437344543809569,0.184113777089783,0.213122624372202,0.0434887770897833,0.0292771001745413,1218.13483534331,3.07365246058816,0.0449343723512068,7,"CECSCH"
