"","Species","CODE","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"1","Adenanthera pavonina","ADEPAV",0.60277991,152.4444444,1233.654518,150.8393019,6.5,234
"2","Adelia ricinella","ADERIC",0.817326947,136.6666667,23.93057147,138.3520253,4,NA
"3","Albizia lebbeck","ALBLEB",NA,NA,NA,NA,NA,NA
"4","Albizia procera","ALBPRO",NA,NA,NA,NA,NA,NA
"5","Alchornea latifolia","ALCLAT",0.430138969,179.302682,179.2952453,163.8239611,27,34
"6","Allophylus crassinervis","ALLCRA",0.881489862,207.25,16.15970792,118.3069046,8,NA
"7","Allophylus racemosus","ALLRAC",0.686336981,204.2888889,235.0207448,242.4582029,8,18.55
"8","Alsophila portoricensis","ALSPOR",NA,NA,NA,NA,NA,NA
"9","Amyris elemifera","AMYELE",0.911156945,225.6262626,27.46144804,74.89156875,8,63.1696
"10","Anadenanthera peregrina","ANAPER",NA,NA,NA,NA,NA,NA
"11","Andira inermis","ANDINE",0.738835596,161.9027778,385.2892141,189.8808778,28,792
"12","Ardisia obovata","ARDOBO",0.805142717,395.9377778,50.95726004,71.55747892,12,NA
"13","Artocarpus altilis","ARTALT",0.44683506,288,713.6953333,196.8713333,16,5898
"14","Avicennia germinans","AVIGER",NA,NA,NA,NA,NA,NA
"15","Bixa orellana","BIXORE",NA,NA,NA,NA,NA,NA
"16","Bocconia frutescens","BOCFRU",NA,NA,NA,NA,NA,NA
"17","Bourreria succulenta","BOUSUC",0.749497768,281.025641,23.06091297,114.0318324,10,16.4756
"18","Bourreria virgata","BOUVIR",0.804041863,290.5555556,10.83866897,80.43109454,15,21.0532
"19","Bucida buceras","BUCBUC",0.935231475,247.9583333,10.99841035,91.6496375,25,38
"20","Buchenavia tetraphylla","BUCTET",0.668729366,195.3111111,22.89388163,241.1821938,30,586.04
"21","Bursera simaruba","BURSIM",0.408846119,207.8647343,100.3336848,136.2139871,21,117
"22","Byrsonima crassifolia","BYRCRA",NA,NA,NA,NA,NA,NA
"23","Byrsonima lucida","BYRLUC",NA,NA,NA,NA,NA,NA
"24","Byrsonima spicata","BYRSPI",0.676861271,164.2777778,20.99652813,218.7030325,28,108
"25","Byrsonima wadsworthii","BYRWAD",0.587397089,286.2777778,27.7614592,87.52933138,19,NA
"26","Calophyllum antillanum","CALANT",0.669935491,283.9444444,73.44218385,133.6142177,35,1000
"27","Calyptranthes pallens","CALPAL",NA,NA,NA,NA,NA,NA
"28","Casearia aculeata","CASACU",NA,NA,NA,NA,NA,NA
"29","Casearia arborea","CASARB",0.664983974,181.6919192,19.02270949,177.3661477,28,1.65
"30","Casearia decandra","CASDEC",0.77967418,122.9,14.42690396,258.3533886,10,88.1
"31","Castilla elastica","CASELA",0.291154684,191,416.1735704,264.0514617,2,568.18
"32","Casuarina equisetifolia","CASEQU",NA,NA,NA,NA,NA,NA
"33","Casearia guianensis","CASGUI",0.807814077,148.0222222,44.17648438,191.0552082,15,NA
"34","Casearia sylvestris","CASSYL",0.673697322,167.2222222,59.75374673,149.3326007,12,3
"35","Cecropia schreberiana","CECSCH",0.299201722,267.0864198,1748.526657,147.1927964,25,0.6
"36","Cedrela odorata","CEDODO",NA,NA,NA,NA,NA,NA
"37","Ceiba pentandra","CEIPEN",0.303049231,NA,364.39,343.49,35,59
"38","Chionanthus domingensis","CHIDOM",0.86194604,213.0555556,81.7644631,139.418911,23,NA
"39","Chrysophyllum argenteum","CHRARG",0.789692307,203.3968254,49.6208973,181.7288127,24,236.5
