"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1"
"1",1,"ADEPAV","Adenanthera pavonina",2339,3973,3393,3761,1422,6.57343269140286,NA,5.42580750113059,NA,6.37425858513594,6.67707804616547,1422.8389451082,1331.14032939834,1268.43115250261,1227.02224141473,-0.46314955243699,-0.954221027141051,0.146089311664512,0.134589106710896,-1.03692013653816,-0.15808063249593,-0.681972050502569
"2",2,"ADERIC","Adelia ricinella",1721,4398,3874,4558,2837,0.109412124750511,NA,2.86913647002438,NA,3.68917000291826,4.58579283232383,1578.91017180404,1271.76123721446,1232.3820869984,1310.28224926506,0.749580749079947,-1.10940947190655,-0.10518610525933,-0.0350384673630576,-1.3335658012916,0.41546604111846,-1.61517905638133
"3",5,"ALCLAT","Alchornea latifolia",2789,6347,9995,9318,6529,7.15182027651186,NA,3.44771554647551,NA,4.25381405060263,4.25273591246169,1364.99190697605,1094.56033999719,1047.77109819712,1246.566534017,-1.43900502618608,-0.690046426538957,-0.0729148393198146,0.310973142303816,1.39557431444006,-0.182813125374647,0.882404436827713
"4",6,"ALLCRA","Allophylus crassinervis",3924,7543,11343,11624,7700,NA,NA,NA,NA,NA,1.47708877074157,1245.79243594693,1150.75366367117,1112.79516308388,1219.24401006806,1.11226257560247,-0.415159753760782,-0.106800214812163,-0.307332043078405,-0.858932737686093,0.162763057182432,-1.06128512629863
"5",7,"ALLRAC","Allophylus racemosus",2516,4024,3359,3812,1296,NA,NA,NA,NA,0.0272548719243315,0.0593231475875186,1212.80089025195,1286.78588424887,1294.96738831609,1391.5422059511,0.00915802787092193,-0.444284909097889,-0.0613399274067978,1.3791432568089,-0.858932737686093,-0.184723710449528,-0.821470274248161
"6",9,"AMYELE","Amyris elemifera",2760,4466,3822,4335,1575,7.54319705205847,17.5311437692308,9.4690378974336,17.5610360296756,10.6173497033184,14.486922872619,1263.33177526195,1424.41611193558,1365.38801249585,1330.07500931781,1.27995620127449,-0.234412904127052,-0.10445269621607,-0.897087386356494,-0.858932737686093,-0.179205940753272,-0.837004434252991
"7",11,"ANDINE","Andira inermis",3054,7271,10917,10913,7859,22.0621297567852,NA,21.6664524893442,NA,18.517430133411,17.5742380644596,1345.18914159635,1150.8690809506,1126.66245607204,1226.62803384675,0.305907226034734,-0.861189924895294,-0.0301272095117993,0.664931151664166,1.51423258034144,-0.0890769773643083,0.207107001914373
"8",12,"ARDOBO","Ardisia obovata",2960,4801,4069,4566,1606,12.0816224317576,NA,16.113078199024,NA,17.8417313469806,21.5674816872549,1591.24727967843,1351.79902823508,1354.26861407264,1357.12478246531,0.680709208702292,1.44075198107366,-0.0995723100972376,-0.942377771740248,-0.384299674080587,-0.0567387147195525,0.339721216323977
"9",13,"ARTALT","Artocarpus altilis",995,3543,6447,6536,5541,0.723724247637549,NA,1.12080170922238,NA,1.66200009343863,2.16978684106696,1440.14906463789,1125.03587270946,1120.22229529055,1238.73573547255,-1.34463012473925,0.379088153206095,0.0380870180059945,0.759889727991124,0.090333389524919,0.542343565829347,0.424471443316827
"10",18,"BOUVIR","Bourreria virgata",2869,4675,3935,4529,1660,1.02861777982615,NA,0.676359849816685,NA,1.01794709115772,1.87602253722072,1497.11922556947,1495.16186667425,1459.67935945722,1475.93555538837,0.674486615176817,0.404224310313679,-0.107905463893546,-0.821838286702707,-0.0283248763764576,-0.184414158568658,0.074357095309147
