"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"1",1,"ADEPAV","Adenanthera pavonina",2339,3973,3393,3761,1422,6.57343269140286,NA,5.42580750113059,NA,6.37425858513594,6.67707804616547,1422.8389451082,1331.14032939834,1268.43115250261,1227.02224141473,-0.482434096392357,-1.01123657651838,0.182536607169953,0.0820604615796212,-0.923676743893635,-0.144172505045137,-0.500750140153376,-0.182313240968046
"2",2,"ADERIC","Adelia ricinella",1721,4398,3874,4558,2837,0.109412124750511,NA,2.86913647002438,NA,3.68917000291826,4.58579283232383,1578.91017180404,1271.76123721446,1232.3820869984,1310.28224926506,0.723890713756028,-1.17009559078512,-0.0966764068315377,-0.0778483049123904,-1.22003504708532,0.41787145175784,0.0321928413160721,-1.49421052714105
"3",3,"ALBLEB","Albizia lebbeck",604,2014,3599,3622,3018,1.57783199358054,NA,0.0543244042316082,NA,NA,0.0614881639719919,1801.73411049339,1241.58844401234,1291.01594242708,1361.51580572987,-0.254641138297628,-0.883618938180341,-0.0162212280703605,-0.0575720223815412,-0.448201230433512,-0.084567686744796,-0.408839203373461,-0.281308904674975
"4",4,"ALBPRO","Albizia procera",1189,2580,4732,4792,3603,2.81612540017236,NA,5.63356686838758,NA,4.12588288519281,3.65793502851083,1496.57233255818,1283.83712007661,1258.96982823889,1267.95618782184,-0.254641138297628,-0.883618938180341,-0.0162212280703605,-0.0575720223815412,-0.448201230433512,-0.084567686744796,-0.408839203373461,-0.281308904674975
"5",5,"ALCLAT","Alchornea latifolia",2789,6347,9995,9318,6529,7.15182027651186,NA,3.44771554647551,NA,4.25381405060263,4.25273591246169,1364.99190697605,1094.56033999719,1047.77109819712,1246.566534017,-1.4531352222982,-0.740813629053623,-0.0608171192859249,0.248338578298133,1.50646134227814,-0.170872787212889,-1.33704716167274,1.30222694803045
"6",6,"ALLCRA","Allophylus crassinervis",3924,7543,11343,11624,7700,NA,NA,NA,NA,NA,1.47708877074157,1245.79243594693,1150.75366367117,1112.79516308388,1219.24401006806,1.08465689975533,-0.459425243864309,-0.0984699781991324,-0.334540827068942,-0.745861761978628,0.0495929005717697,0.535691283596617,-1.23646453072089
"7",7,"ALLRAC","Allophylus racemosus",2516,4024,3359,3812,1296,NA,NA,NA,NA,0.0272548719243315,0.0593231475875186,1212.80089025195,1286.78588424887,1294.96738831609,1391.5422059511,-0.0126211862721859,-0.489239277210734,-0.0479552719886435,1.2553079130106,-0.745861761978628,-0.172935384010347,-0.900947961880611,-0.0613857417313043
"8",8,"ALSPOR","Alsophila portoricensis",2147,5302,10017,9370,7223,0.342872593275385,NA,1.20951102274369,NA,0.800219987616218,1.5907791550395,1379.89643504792,1175.01861915377,1085.87877117797,1298.16091698858,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"AMYELE","Amyris elemifera",2760,4466,3822,4335,1575,7.54319705205847,17.5311437692308,9.4690378974336,17.5610360296756,10.6173497033184,14.486922872619,1263.33177526195,1424.41611193558,1365.38801249585,1330.07500931781,1.25146478844984,-0.274403308706567,-0.0958614550468724,-0.890506152815783,-0.745861761978628,-0.166978604459286,0.990887547185237,-1.33644543036381
"10",10,"ANAPER","Anadenanthera peregrina",4290,9475,15180,14782,10492,NA,NA,NA,NA,0.0817646157729944,0.0593231475875186,1343.68651338106,1220.54130525102,1165.22223537542,1221.96951423803,-0.217057619900502,-0.894502091731747,-0.0116976369739762,-0.0477806241752565,-0.473804913730413,-0.0932061130339562,-0.399828222845351,-0.305722919592722
