CN,ESTN_UNIT_CN,RSCD,EVALID,ESTN_UNIT,STRATUMCD,STRATUM_DESCR,STATECD,P1POINTCNT,P2POINTCNT,EXPNS,ADJ_FACTOR_MACR,ADJ_FACTOR_SUBP,ADJ_FACTOR_MICR,ADJ_FACTOR_CWD,ADJ_FACTOR_FWD_SM,ADJ_FACTOR_FWD_LG,ADJ_FACTOR_DUFF,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,ADJ_FACTOR_PILE,ADJ_FACTOR_REGEN_MICR,ADJ_FACTOR_INV_SUBP,ADJ_FACTOR_P2VEG_SUBP,ADJ_FACTOR_GRNDLYR_MICROQUAD,ADJ_FACTOR_SOIL
603993307126144,604023395126144,33,721407,1,3,FOREST,72,4401059,63,15535.443261992721,0.0,1.021721374764708,1.0202429149797572,1.021044918861941,1.0208268631031445,1.0208268631031412,1.0,FSJMCHAN,2019-02-05 08:28:52,126144,FSJMCHAN,2019-02-05 08:29:36,126144,1.0217213747647413,,,,,
603993306126144,604023395126144,33,721407,1,15,NONFOREST,72,9116013,65,31188.794376837825,0.0,1.0116731517509727,1.0116731517509727,1.0116731517509727,1.0116768364504585,1.0116768364504591,1.0,FSJMCHAN,2019-02-05 08:28:53,126144,FSJMCHAN,2019-02-05 08:29:36,126144,1.0116731517509716,,,,,
255084799010854,42834444020004,33,720800,4,1,NONFOREST (INCLUDING CENSUS WATER),72,360167,164,488.4080578505599,0.0,1.0,1.0,,,,,JTURNER02,2012-06-06 08:38:50,20004,JTURNER02,2012-06-06 08:38:52,20004,,,,,,
255084800010854,42834444020004,33,720800,4,3,FOREST,72,60158,27,495.5099449077103,0.0,1.0,1.0,,,,,JTURNER02,2012-06-06 08:38:52,20004,JTURNER02,2012-06-06 08:38:52,20004,,,,,,
255087555010854,42835272020004,33,720801,4,1,NONFOREST (INCLUDING CENSUS WATER),72,360167,164,488.4080578505599,0.0,1.0,1.0,,,,,JTURNER02,2012-06-06 08:39:22,20004,JTURNER02,2012-06-06 08:39:22,20004,,,,,,
255087556010854,42835272020004,33,720801,4,3,FOREST,72,60158,27,495.5099449077103,0.0,1.0,1.0,,,,,JTURNER02,2012-06-06 08:39:22,20004,JTURNER02,2012-06-06 08:39:22,20004,,,,,,
705632778126144,705637170126144,33,721901,1,1,NONFOREST,72,5207047,194,5968.93398540685,0.0,1.0117340286831813,1.0117340286831813,,,,,FSWILLIAMWATKINS,2019-10-03 10:19:37,126144,FSWILLIAMWATKINS,2019-10-03 10:19:38,126144,,,,,,
705632779126144,705637170126144,33,721901,1,3,FOREST,72,4401059,183,5348.267352489297,0.0,1.0523352120545446,1.0517241379310345,,,,,FSWILLIAMWATKINS,2019-10-03 10:19:37,126144,FSWILLIAMWATKINS,2019-10-03 10:19:38,126144,,,,,,
705632780126144,705637170126144,33,721901,1,5,CENSUS WATER,72,3908966,133,6536.07850620699,0.0,1.0,1.0,,,,,FSWILLIAMWATKINS,2019-10-03 10:19:37,126144,FSWILLIAMWATKINS,2019-10-03 10:19:38,126144,,,,,,
705632781126144,705637171126144,33,721901,2,1,NONFOREST,72,34841,11,704.3862324223948,0.0,1.0476190476190477,1.0476190476190477,,,,,FSWILLIAMWATKINS,2019-10-03 10:19:37,126144,FSWILLIAMWATKINS,2019-10-03 10:19:38,126144,,,,,,
