CN,RSCD,NAME,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
270781632732862,24,New Hampshire P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781630732862,24,New Hampshire Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781631732862,24,New Hampshire Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781622732862,24,Maine Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781621732862,24,Maine Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781623732862,24,Maine P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905616732862,33,Louisiana Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905626732862,33,Louisiana Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
270781617732862,24,Connecticut P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968347290487,22,FIA Nevada Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
833968357290487,22,FIA Wyoming Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
270781624732862,24,Maryland Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781625732862,24,Maryland Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781626732862,24,Maryland P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781616732862,24,Connecticut Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781615732862,24,Connecticut Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781599732862,23,Minnesota P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781598732862,23,Minnesota Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781597732862,23,Minnesota Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905619732862,33,Mississippi Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905630732862,33,Mississippi Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
268905627732862,33,South Carolina Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
268905623732862,33,South Carolina Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
270781634732862,24,New Jersey Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
