CN,INVYR,P3_OZONE_IND,STATECD,STATEAB,STATENM,RSCD,ANN_INVENTORY,NOTES,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,PRJ_CN
120176507010478,2001,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-04-08 09:58:11,10478,JTURNER02,2021-05-27 09:36:40,290487,3,1,268905625732862
120178097010478,2002,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-04-08 09:58:14,10478,JTURNER02,2021-05-27 09:36:40,290487,3,2,268905625732862
120182481010478,2003,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-04-08 09:58:21,10478,JTURNER02,2021-05-27 09:36:40,290487,3,3,268905625732862
120187261010478,2004,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-04-08 09:58:28,10478,JTURNER02,2021-05-27 09:36:40,290487,3,4,268905625732862
115221423010478,2006,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-01-31 15:31:19,10478,JTURNER02,2021-05-27 09:36:40,290487,4,1,268905625732862
115225569010478,2007,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-01-31 15:31:30,10478,JTURNER02,2021-05-27 09:36:40,290487,4,2,268905625732862
120128786010478,2008,N,72,PR,Puerto Rico,33,Y,,NIMS_DEV_V2_2,2008-04-07 12:31:59,10478,JTURNER02,2021-05-27 09:36:40,290487,4,3,268905625732862
249586940010854,2009,N,72,PR,Puerto Rico,33,Y,,J_MCHAN,2010-09-13 14:34:13,10854,JTURNER02,2021-05-27 09:36:40,290487,4,4,268905625732862
253412249010854,2011,N,72,PR,Puerto Rico,33,Y,,J_MCHAN,2010-12-10 12:40:30,10854,JTURNER02,2021-05-27 09:36:40,290487,5,1,268905625732862
29558613020004,2012,N,72,PR,Puerto Rico,33,Y,,JMCHAN,2012-02-22 10:44:52,20004,JTURNER02,2021-05-27 09:36:40,290487,5,2,268905625732862
197179171020004,2013,N,72,PR,Puerto Rico,33,Y,,JMCHAN,2013-05-02 15:23:31,20004,JTURNER02,2021-05-27 09:36:40,290487,5,3,268905625732862
218999394020004,2014,N,72,PR,Puerto Rico,33,Y,,JTURNER02,2013-10-28 08:53:24,20004,JTURNER02,2021-05-27 09:36:40,290487,5,3,268905625732862
385585936489998,2016,N,72,PR,Puerto Rico,33,Y,,JMCHAN,2016-04-13 08:54:27,489998,JTURNER02,2021-05-27 09:36:40,290487,6,1,268905625732862
441096253489998,2017,N,72,PR,Puerto Rico,33,Y,,JMCHAN,2016-12-10 15:55:34,489998,JTURNER02,2021-05-27 09:36:40,290487,6,2,268905625732862
480533676489998,2018,N,72,PR,Puerto Rico,33,Y,,JMCHAN,2017-07-14 10:47:59,489998,JTURNER02,2021-05-27 09:36:40,290487,6,3,268905625732862
548973832126144,2019,N,72,PR,Puerto Rico,33,Y,,FSJMCHAN,2018-08-02 11:11:01,126144,JTURNER02,2021-05-27 09:36:40,290487,6,4,268905625732862
