TRE_CN,STATECD,REGIONAL_DRYBIOT,REGIONAL_DRYBIOM,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,REGIONAL_DRYBIOSL
249699791010854,72,13.280321,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699792010854,72,6.518895,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249700285010854,72,7.985315,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698696010854,72,21.071543,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698450010854,72,4.510626,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698449010854,72,6.028545,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698329010854,72,4.192217,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698924010854,72,509.770243,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697813010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249697812010854,72,13.135611,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698493010854,72,5.295262,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249697811010854,72,17.470617,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699793010854,72,6.130184,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
254353120010854,72,6.388836,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699795010854,72,25.03178,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249697810010854,72,10.766544,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699796010854,72,8.462551,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699797010854,72,8.462551,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698492010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699798010854,72,8.293714,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699799010854,72,273.049341,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697809010854,72,11.679993,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699800010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699801010854,72,20.392153,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249700286010854,72,54.902806,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699802010854,72,12.211634,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249697808010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249697807010854,72,13.714889,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699803010854,72,228.140432,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698925010854,72,125.348628,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697806010854,72,7.511253,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699804010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698926010854,72,6.028545,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698927010854,72,6.979086,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699794010854,72,48.885046,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699424010854,72,90.814456,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699425010854,72,115.953761,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699426010854,72,187.840424,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699427010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699428010854,72,285.262209,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699805010854,72,362.072017,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697922010854,72,357.056063,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698581010854,72,574.8368,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
254353121010854,72,271.671833,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698588010854,72,226.692556,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699806010854,72,605.546355,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699807010854,72,133.652967,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698788010854,72,394.517709,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249700287010854,72,445.398845,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698787010854,72,283.512024,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699429010854,72,766.431634,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:49,126144,
249698580010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698928010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699430010854,72,115.582965,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697921010854,72,171.151046,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698579010854,72,177.312139,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698929010854,72,69.352841,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698930010854,72,168.266674,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698106010854,72,1.931077,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699431010854,72,4.208759,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698192010854,72,2.93855,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698191010854,72,6.008208,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698931010854,72,120.960058,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698078010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698932010854,72,155.364869,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699432010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698105010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249700288010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249700289010854,72,362.072017,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249700290010854,72,271.696073,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249700291010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698933010854,72,455.384338,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698934010854,72,77.954044,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698935010854,72,574.8368,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698936010854,72,484.011932,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698937010854,72,163.215052,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698938010854,72,73.653443,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698939010854,72,127.111577,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698940010854,72,156.22176,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698941010854,72,245.677499,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698942010854,72,163.966072,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698943010854,72,95.15645,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698944010854,72,103.757653,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698104010854,72,2.627472,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698945010854,72,133.861862,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698946010854,72,60.751639,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698947010854,72,65.05224,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699433010854,72,138.781015,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697920010854,72,629.786655,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:49,126144,
249699434010854,72,247.735842,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698578010854,72,332.78287,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699435010854,72,203.333309,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698587010854,72,720.954945,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249700292010854,72,208.596926,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699436010854,72,320.161063,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698586010854,72,173.311166,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698786010854,72,133.32059,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699437010854,72,238.618888,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698585010854,72,143.690224,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699808010854,72,,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249699438010854,72,182.332739,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699809010854,72,371.282325,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699810010854,72,348.408743,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249697919010854,72,1053.833136,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699439010854,72,494.614933,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698584010854,72,203.333309,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698583010854,72,143.9837,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249698682010854,72,2043.425208,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:49,126144,
249698582010854,72,345.868203,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699440010854,72,406.114104,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699441010854,72,10.044109,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249698627010854,72,34.452634,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:04:59,126144,
249700293010854,72,132.495225,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
249699442010854,72,76.811705,,JTURNER02,2011-09-29 11:16:52,20004,JASONMEADE,2019-03-06 13:09:29,126144,
