Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
ADEPAV;0.60277991;152.4444444;1233.654518;150.8393019;0.638229929;6.5;0
ADERIC;0.817326947;136.6666667;23.93057147;138.3520253;0.968180615;4;0
AESAME;0.454926853;NA;8.344;201.0293333;NA;3;NA
AIPMIN;NA;192.1111111;45.22604067;174.0977514;1;8;0
ALCFLO;0.43542189;NA;70.06228571;266.9642857;NA;17;0
ALCLAT;0.430138969;179.302682;179.2952453;163.8239611;0.891781982;27;0.00403225806451613
ALLCRA;0.881489862;207.25;16.15970792;118.3069046;0.943896817;8;0.11
ALLRAC;0.686336981;204.2888889;235.0207448;242.4582029;0.903525848;8;0.0769230769230769
AMYELE;0.911156945;225.6262626;27.46144804;74.89156875;0.937483831;8;0.0361963190184049
ANDINE;0.738835596;161.9027778;385.2892141;189.8808778;0.846926364;28;0.0246913580246914
ANTOBT;0.620140631;NA;92.01736842;165.4773684;NA;13;NA
ARDGLA;0.5485072;541.037037;230.847;59.0405;0.95318434;7;0
ARDLUQ;0.455;NA;16.88428571;58.35125;NA;NA;NA
ARDOBO;0.805142717;395.9377778;50.95726004;71.55747892;0.960774657;12;0.0222672064777328
ARTALT;0.44683506;288;713.6953333;196.8713333;0.960838234;16;0.125
BADPEN;0.961802083;505.5111111;2.396346125;44.33559746;0.990843941;8;0
BEIPEN;NA;NA;51.46;144.58;NA;25;NA
BOUSUC;0.749497768;281.025641;23.06091297;114.0318324;0.955071923;10;0.050251256281407
BOUVIR;0.804041863;290.5555556;10.83866897;80.43109454;0.965205998;15;0.0434782608695652
BRUPOR;NA;NA;21.21;201.39;NA;3;NA
BUCBUC;0.935231475;247.9583333;10.99841035;91.6496375;0.944458315;25;0.0289855072463768
BUCTET;0.668729366;195.3111111;22.89388163;241.1821938;0.950000506;30;0
BURSIM;0.408846119;207.8647343;100.3336848;136.2139871;0.86919852;21;0.00371747211895911
BYRSPI;0.676861271;164.2777778;20.99652813;218.7030325;0.963131113;28;0
BYRWAD;0.587397089;286.2777778;27.7614592;87.52933138;0.957881098;19;0
CALANT;0.669935491;283.9444444;73.44218385;133.6142177;0.949132422;35;0.00823723228995058
CALKRU;0.7178933;352.8333333;6.710427652;57.01176511;0.965501565;7;0
CANWIN;0.928565167;308.4222222;23.04160417;98.31495525;0.957647409;7;0
CASARB;0.664983974;181.6919192;19.02270949;177.3661477;0.976578564;28;0.0311850311850312
CASDEC;0.77967418;122.9;14.42690396;258.3533886;0.977726104;10;0.0317460317460317
CASELA;0.291154684;191;416.1735704;264.0514617;0.972250529;2;0
CASGUI;0.807814077;148.0222222;44.17648438;191.0552082;0.977174735;15;0.1
CASSYL;0.673697322;167.2222222;59.75374673;149.3326007;0.972932757;12;0.0414634146341463
CECSCH;0.299201722;267.0864198;1748.526657;147.1927964;0.810840407;25;0.0411522633744856
CEIPEN;0.303049231;NA;364.39;343.49;NA;35;0
CESMAC;0.734914919;356.6666667;62.73823977;155.8040502;0.961997956;4.5;0.1
CHICOM;0.951827984;203.6666667;18.41252885;162.8928828;0.955367714;13;0.333333333333333
CHIDOM;0.86194604;213.0555556;81.7644631;139.418911;0.946792192;23;0
CHIVEN;0.727326146;250.3518518;25.30916543;152.6668617;0.957797661;17;1
CHRARG;0.789692307;203.3968254;49.6208973;181.7288127;0.953905846;24;0.12962962962963
CHRPAU;0.921634964;235.5396825;19.91613246;125.3371306;0.967227006;12;0.25
CINELO;0.583127077;NA;28.63933333;185.214;NA;33;NA
CINMON;0.504555451;159.9814815;24.34180101;155.7895246;0.973871534;22;0.032258064516129
CITCAU;0.638421219;NA;40.714;190.7593333;NA;NA;NA
CITPAR;0.558168927;217.6666667;38.19553136;117.883331;0.977933815;5.5;0
CITSPI;0.676332689;326.537037;41.24392728;167.8403222;0.95792571;19;0.0634920634920635
CLIEGG;0.545223463;NA;20.83933333;276.3146667;NA;7;0
CLIERO;0.322264307;NA;191.962;272.8855;NA;7;NA
CLUCLU;0.586571429;NA;113.045;34.18;NA;NA;NA
