SPECIES,SS.MG
FICLAE,0.1
ERYFRU,0.7
ANTACU,1
COLARB,1.4
COCMIC,1.9
HELJAM,2.7
GUEELL,2.8
BUCBUC,2.9
THOPOR,4
PLUALB,4.1
PISALB,4.1
TABHET,4.1
SCHFRU,5.3
EXOCAR,7.5
PICACU,7.7
GUEKRU,8
AMYELE,8.2
CAPFLE,10
FORSEG,12.1
ADERIN,13.1
ROCACA,16.1
QUACYN,21.1
ZANFLA,23.5
ERYARE,25
HYPTRI,25.1
GYMLUC,26.6
BOUSUC,31.5
EUGAXI,42
MOSXER,45.2
KRUFER,46.4
EUGLIG,46.4
RONPIL,47.7
LEULEU,48.2
BURSIM,62.4
RANACU,63.5
PITUNG,85.4
GUASAN,94.5
ACAFAR,118.7
EUGRHO,126.5
MORHAS,168.1
COCDIV,182.6
GUAOFF,241.2
REYUNC,289.7
CYNHAS,463.2
