ORDER,FAMILY,GENUS,SPECIES,SP.CODE,COLLECTED,ENDEMIC,EXOTIC,AUTH,FIA.CODE,COMMENT
LAMIALES,ACANTHACEAE,AVICENNIA,GERMINANS,AVIGER,YES,NO,NO,(L.) L.,61,
SAPINDALES,ANACARDIACEAE,COMOCLADIA,DODONAEA,COMDOD,YES,NO,NO,(L.) Urb.,233,
SAPINDALES,ANACARDIACEAE,COMOCLADIA,GLABRA,COMGLA,YES,NO,NO,Spreng.,234,
SAPINDALES,ANACARDIACEAE,MANGIFERA,INDICA,MANIND,NEW,NO,YES,L.,,
SAPINDALES,ANACARDIACEAE,METOPIUM,TOXIFERUM,METTOX,YES,NO,NO,(L.) Krug & Urb.,603,
SAPINDALES,ANACARDIACEAE,SCHINUS,TEREBINTHIFOLIUS,SCHTER,NEW,NO,YES,Raddi,,
SAPINDALES,ANACARDIACEAE,SPONDIAS,MOMBIN,SPOMOM,YES,NO,NO,L.,,
MAGNOLIALES,ANNONACEAE,ANNONA,GLABRA,ANNGLA,YES,NO,NO,L.,46,
MAGNOLIALES,ANNONACEAE,ANNONA,MONTANA,ANNMON,YES,NO,NO,Macfad.,47,
MAGNOLIALES,ANNONACEAE,ANNONA,SQUAMOSA,ANNSQU,GENEBANK,NO,NAT,L.,,
MAGNOLIALES,ANNONACEAE,GUATTERIA,BLAINII,GUABLA,YES,NO,NO,(Griseb.) Urb.,438,
MAGNOLIALES,ANNONACEAE,GUATTERIA,CARIBAEA,GUACAR,YES,NO,NO,Urb.,134,
MAGNOLIALES,ANNONACEAE,OXANDRA,LANCEOLATA,OXALAN,HERBARIUM,NO,NO,(Sw.) Baill.,701,
MAGNOLIALES,ANNONACEAE,OXANDRA,LAURIFOLIA,OXALAU,YES,NO,NO,(Sw.) A. Rich.,702,
MAGNOLIALES,ANNONACEAE,ROLLINIA,MUCOSA,ANNMUC,GENEBANK,NO,NO,Jacq.,,
GENTIANALES,APOCYNACEAE,PINOCHIA,CORYMBOSA,PINCOR,NEW,YES,NO,(Jacq.) M.E. Endress & B.F. Hansen,,VINE
GENTIANALES,APOCYNACEAE,PLUMERIA,ALBA,PLUALB,YES,NO,NO,L.,779,
GENTIANALES,APOCYNACEAE,PLUMERIA,OBTUSA,PLUOBT,YES,NO,NO,L.,1036,
GENTIANALES,APOCYNACEAE,RAUVOLFIA,NITIDA,RAUNIT,YES,NO,NO,Jacq.,807,
GENTIANALES,APOCYNACEAE,TABERNAEMONTANA,CITRIFOLIA,TABCIT,YES,NO,NO,L.,915,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,COOKII,ILECOO,NO,YES,NO,Britton & P. Wilson,462,T&E
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,GUIANENSIS,ILEGUI,YES,NO,NO,(Aubl.) Kuntze,503,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,MACFADYENII,ILEMAC,YES,NO,NO,(Walp.) Rehder,504,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,NITIDA,ILENIT,YES,NO,NO,(Vahl) Maxim.,505,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,OBCORDATA,ILEOBO,YES,NO,NO,Sw.,508,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,SIDEROXYLOIDES,ILESID,YES,NO,NO,(Sw.) Griseb.,507,
AQUIFOLIALES,AQUIFOLIACEAE,ILEX,URBANIANA,ILEURB,HERBARIUM,NO,NO,Loes.,509,
APIALES,ARALIACEAE,DENDROPANAX,ARBOREUS,DENARB,YES,NO,NO,(L.) Decne. & Planch.,299,
APIALES,ARALIACEAE,DENDROPANAX,LAURIFOLIUS,DENLAU,HERBARIUM,YES,NO,(Marchal ex Urb.) Decne. & Planch. ex R. C. Schneid.,300,
APIALES,ARALIACEAE,SCHEFFLERA,GLEASONII,SCHGLE,HERBARIUM,YES,NO,(Britton & P. Wilson) Alain,NA,
APIALES,ARALIACEAE,SCHEFFLERA,MOROTOTONI,SCHMOR,YES,NO,NO,(Aubl.) Maguire,302,
ARECALES,ARECACEAE,ACROCOMIA,ACULEATA,ACRACU,YES,NO,NO,(Jacq.) Lodd. ex Mart.,8,
ARECALES,ARECACEAE,AIPHANES,ACANTHOPHYLLA,AIPMIN,YES,NO,NO,(Mart.) Burret,16,
ARECALES,ARECACEAE,CALYPTRONOMA,RIVALIS,CALRIV,YES,NO,NO,(O. F. Cook) L. H. Bailey,136,T&E
ARECALES,ARECACEAE,COCCOTHRINAX,BARBADENSIS,COCBAR,YES,NO,NO,(Lodd. ex Mart.) Becc.,273,
ARECALES,ARECACEAE,GAUSSIA,ATTENUATA,GAUATT,YES,NO,NO,(O. F. Cook) Becc.,417,
ARECALES,ARECACEAE,PRESTOEA,MONTANA,PREMON,YES,NO,NO,(R. Graham) G. Nicholson,374,
ARECALES,ARECACEAE,ROYSTONEA,BORINQUENA,ROYBOR,YES,NO,NO,(O.F. Cook) Becc.,833,
ARECALES,ARECACEAE,SABAL,CAUSIARUM,SABCAU,HERBARIUM,NO,NO,(O.F. Cook) Becc.,836,
ARECALES,ARECACEAE,THRINAX,MORRISII,THRMOR,GENEBANK,NO,NO,H. Wendl.,943,
ASTERALES,ASTERACEAE,CLIBADIUM,EROSUM,CLIERO,YES,NO,NO,(Sw.) DC.,201,
ASTERALES,ASTERACEAE,CRITONIA,PORTORICENSIS,CRIPOR,HERBARIUM,YES,NO,(Urb.) Britton & P. Wilson,249,
ASTERALES,ASTERACEAE,KOANOPHYLLON,POLYODON,KOAPOL,HERBARIUM,YES,NO,(Urb.) R.M. King & H. Rob.,371,
ASTERALES,ASTERACEAE,PLUCHEA,CAROLINENSIS,PLUCAR,NEW,NO,NO,(Jacq.) G. Don,,
LAMIALES,BIGNONIACEAE,AMPHITECNA,LATIFOLIA,AMPLAT,YES,NO,NO,(Mill.) A.H. Gentry,331,
LAMIALES,BIGNONIACEAE,CRESCENTIA,CUJETE,CRECUJ,YES,NO,NO,L.,247,
LAMIALES,BIGNONIACEAE,CRESCENTIA,LINEARIFOLIA,CRELIN,HERBARIUM,NO,NO,Miers,248,
LAMIALES,BIGNONIACEAE,CRESCENTIA,PORTORICENSIS,CREPOR,HERBARIUM,YES,NO,Britton,396,
LAMIALES,BIGNONIACEAE,SPATHODEA,CAMPANULATA,SPACAM,YES,NO,NAT,P. Beauv.,NA,
LAMIALES,BIGNONIACEAE,TABEBUIA,HAEMANTHA,TABHAE,YES,YES,NO,(Bertero ex Spreng.) DC.,907,
LAMIALES,BIGNONIACEAE,TABEBUIA,HETEROPHYLLA,TABHET,YES,NO,NO,(DC.) Britton,908,
LAMIALES,BIGNONIACEAE,TABEBUIA,KARSOANA,TABKAR,YES,YES,NO,Trejo,NA,
LAMIALES,BIGNONIACEAE,TABEBUIA,RIGIDA,TABRIG,YES,YES,NO,Urb.,910,
LAMIALES,BIGNONIACEAE,TABEBUIA,SCHUMANNIANA,TABSCH,YES,YES,NO,Urb.,911,
LAMIALES,BIGNONIACEAE,TECOMA,STANS,TECSTA,YES,NO,NAT,(L.) Kunth,903,
MALVALES,BIXACEAE,BIXA,ORELLANA,BIXORE,NO,NO,NAT,L.,NA,
BORAGINALES,BORAGINACEAE,BOURRERIA,SUCCULENTA,BOUSUC,YES,NO,NO,Jacq.,84,
BORAGINALES,BORAGINACEAE,BOURRERIA,VIRGATA,BOUVIR,YES,NO,NO,(Sw.) G. Don,85,
BORAGINALES,BORAGINACEAE,CORDIA,ALLIODORA,CORALL,YES,NO,NO,(Ruiz & Pav.) Oken,240,
BORAGINALES,BORAGINACEAE,CORDIA,BORINQUENSIS,CORBOR,YES,YES,NO,Urb.,241,
BORAGINALES,BORAGINACEAE,CORDIA,COLLOCOCCA,CORCOL,YES,NO,NO,L.,242,
BORAGINALES,BORAGINACEAE,CORDIA,LAEVIGATA,CORLAE,YES,NO,NO,Lam.,243,
BORAGINALES,BORAGINACEAE,CORDIA,RICKSECKERI,CORRIC,YES,NO,NO,Millsp.,862,
BORAGINALES,BORAGINACEAE,CORDIA,SULCATA,CORSUL,YES,NO,NO,DC.,244,
BORAGINALES,BORAGINACEAE,ROCHEFORTIA,ACANTHOPHORA,ROCACA,YES,NO,NO,(DC.) Griseb.,825,
BORAGINALES,BORAGINACEAE,ROCHEFORTIA,SPINOSA,ROCSPI,YES,NO,NO,(Jacq.) Urb.,824,
BORAGINALES,BORAGINACEAE,TOURNEFORTIA,FILIFLORA,TOUFIL,YES,NO,NO,Griseb.,953,
BORAGINALES,BORAGINACEAE,VARRONIA,BELLONIS,VARBEL,YES,YES,NO,(Urb.) Britton,NA,
BORAGINALES,BORAGINACEAE,VARRONIA,POLYCEPHALA,VARPOL,NEW,NO,NO,Lam.,,
BORAGINALES,BORAGINACEAE,VARRONIA,RUPICOLA,VARRUP,NO,NO,NO,(Urb.) Britton,978,
OXALIDALES,BRUNELLIACEAE,BRUNELLIA,COMOCLADIIFOLIA,BRUCOM,YES,NO,NO,Humb. & Bonpl.,88,
SAPINDALES,BURSERACEAE,BURSERA,SIMARUBA,BURSIM,YES,NO,NO,(L.) Sarg.,101,
SAPINDALES,BURSERACEAE,DACRYODES,EXCELSA,DACEXC,YES,NO,NO,Vahl,291,
SAPINDALES,BURSERACEAE,TETRAGASTRIS,BALSAMIFERA,TETBAL,YES,NO,NO,(Sw.) Kuntze,932,
BUXALES,BUXACEAE,BUXUS,PORTORICENSIS,BUXPOR,YES,YES,NO,Alain,114,
BUXALES,BUXACEAE,BUXUS,VAHLII,BUXVAH,YES,NO,NO,Baill.,115,T&E
MALPIGHIALES,CALOPHYLLACEAE,CALOPHYLLUM,ANTILLANUM,CALANT,YES,NO,NO,Britton,118,
MALPIGHIALES,CALOPHYLLACEAE,MAMMEA,AMERICANA,MAMAME,YES,NO,NO,L.,568,
CANELLALES,CANELLACEAE,CANELLA,WINTERIANA,CANWIN,GENEBANK,NO,NO,(L.) Gaertn.,137,
CANELLALES,CANELLACEAE,PLEODENDRON,MACRANTHUM,PLEMAC,YES,YES,NO,(Baill.) Tiegh.,777,T&E
ROSALES,CANNABACEAE,CELTIS,TRINERVIA,CELTRI,HERBARIUM,NO,NO,Lam.,173,
ROSALES,CANNABACEAE,TREMA,LAMARCKIANUM,TRELAM,YES,NO,NO,(Roem. & Schult.) Blume,951,
