PLANTS_Accepted_Name,SPCD,Symbol,Origin,Height_m,Height_max,Deciduous,Wood_Density,Myco_Group,Leaf_Thickness,Family,Nfixer,Seed_wt_avg_Kew_or_other_g_per_1000
Acrocomia media,6023,ACME2,N,12,12,E,No data,AM + NM,Coriaceous,Arecaceae,no,
Adelia ricinella,6026,ADRI,N,9,13.1,D,0.722,AM,No data,Euphorbiaceae,no,
Adenanthera pavonina,6028,ADPA,I,12,19.8,D,0.681,AM,No data,Fabaceae,yes,234
Albizia carbonaria,6056,ALCA8,I,21,21,D,0.43,AM,No data,Fabaceae,yes,
Albizia lebbeck,6059,ALLE,I,12,16.8,D,0.597,No data,Chartaceous,Fabaceae,yes,123
Albizia procera,6060,ALPR,I,18,22.9,D,0.579,AM,Chartaceous to Subcoriaceous,Fabaceae,yes,36
Alchornea latifolia,6064,ALLA,N,15,22.3,E,0.417,AM,Subcoriaceous,Euphorbiaceae,no,34
Alchorneopsis floribunda,6066,ALFL3,N,15,15,E,0.427,No data,Chartaceous,Euphorbiaceae,no,
Allophylus crassinervis,6080,ALCR9,N,6.6,6.6,E,No data,No data,Coriaceous,Sapindaceae,no,
Allophylus racemosus,6082,ALRA,N,9,9,D,No data,No data,Chartaceous,Sapindaceae,no,18.55
Alsophila portoricensis,6093,ALPO7,N,6,8.5,E,No data,AM + NM,No data,Cyatheaceae,no,
Amyris balsamifera,6103,AMBA2,N,6,13.7,E,1.08,AM,Coriaceous,Rutaceae,no,
Amyris elemifera,852,AMEL,N,6,8.5,E,0.98,AM,Subcoriaceous,Rutaceae,no,63.1696
Anacardium,6106,ANACA,N,10,13.4,E,No data,No data,Coriaceous,Anacardiaceae,no,
Anadenanthera peregrina,6111,ANPE13,N,12,16.8,D,0.883,No data,Chartaceous,Fabaceae,yes,
Andira inermis,6114,ANIN,N,20,26.5,D,0.621,EM,Chartaceous,Fabaceae,yes,792
Annona muricata,6128,ANMU2,N,6,10.7,E,0.36,AM,Subcoriaceous,Annonaceae,no,396
Annona reticulata,6129,ANRE,I,7,8.8,D,0.55,AM,Chartaceous,Annonaceae,no,194.7
Annona squamosa,6131,ANSQ,N,6,6.1,D,0.618,AM,Chartaceous,Annonaceae,no,267
Antirhea acutata,6146,ANAC4,N,5,6.4,E,No data,AM,Subcoriaceous,Rubiaceae,no,
Antirhea obtusifolia,6150,ANOB2,N,15,15,E,0.56,AM,Subcoriaceous,Rubiaceae,no,
Ardisia obovata,6164,AROB2,N,15,15,E,No data,AM,Coriaceous,Myrsinaceae,no,
Ardisia solanacea,6165,ARSO,I,4.5,6.4,E,0.62,No data,Coriaceous,Myrsinaceae,no,
Artocarpus altilis,6171,ARAL7,I,25,25,E,0.403,AM,Coriaceous,Moraceae,no,5898
Artocarpus heterophyllus,6173,ARHE2,I,15,15,E,0.492,No data,Coriaceous,Moraceae,no,10062
Avicennia germinans,986,AVGE,N,12,15.2,E,0.756,AM,Coriaceous,Verbenaceae,no,10120
Banara portoricensis,6217,BAPO,N,11,11.9,E,No data,No data,Subcoriaceous,Flacourtiaceae,no,
Bauhinia multinervia,6227,BAMU3,I,15,15,E,No data,AM,No data,Fabaceae,no,244.01
Bixa orellana,6238,BIOR,I,4.5,4.5,E,0.36,No data,Chartaceous,Bixaceae,no,25
Bocconia frutescens,6247,BOFR2,N,3,11,E,No data,No data,Subcoriaceous,Papaveraceae,no,17.9147
Bourreria succulenta,6255,BOSU2,N,7.5,15.8,E,0.655,AM,Subcoriaceous,Boraginaceae,no,16.4756
Bourreria virgata,6257,BOVI2,N,7.5,7.5,E,No data,AM,Subcoriaceous,Boraginaceae,no,21.0532
Brunellia comocladiifolia,6270,BRCO6,N,7,11,E,No data,No data,Coriaceous,Brunelliaceae,no,
Buchenavia tetraphylla,6283,BUTE4,N,24,24,D,0.619,AM,Subcoriaceous,Combretaceae,no,586.04
Bucida buceras,6284,BUBU,N,18,24.1,DE,0.811,AM,Subcoriaceous,Combretaceae,no,38
Bursera simaruba,854,BUSI,N,12,18.6,D,0.301,AM + NM,Subcoriaceous,Burseraceae,no,117
Byrsonima crassifolia,6308,BYCR,N,7.5,7.5,E,0.584,AM,Coriaceous,Malpighiaceae,no,2.02
Byrsonima lucida,6311,BYLU,N,8,10.4,E,0.521,AM,Chartaceous,Malpighiaceae,no,459.1228
Byrsonima spicata,6313,BYSP,N,18,21.9,E,0.615,AM,Chartaceous,Malpighiaceae,no,108
Byrsonima wadsworthii,6315,BYWA,N,15,15.8,E,No data,AM,Subcoriaceous,Malpighiaceae,no,
Caesalpinia pulcherrima,6319,CAPU13,I,5,7,E,0.84,No data,Subcoriaceous,Fabaceae,no,146.3
Calophyllum antillanum,6338,CAAN22,N,19,24.1,E,0.518,AM,Subcoriaceous,Clusiaceae,no,1000
Calyptranthes pallens,6354,CAPA8,N,6,6,E,No data,No data,Subcoriaceous,Myrtaceae,no,
Canella winterana,6380,CAWI,N,6,7.9,E,0.95,No data,Coriaceous,Canellaceae,no,
Capparis baducca,6384,CABA2,N,6,7.3,E,0.48,NM,Subcoriaceous,Capparaceae,no,120
Capparis cynophallophora,6386,CACY,N,6,9.1,E,No data,NM,Subcoriaceous,Capparaceae,no,54
Capparis flexuosa,6387,CAFL2,N,8,8,E,0.688,NM,Subcoriaceous,Capparaceae,no,67.0056
Capparis hastata,6389,CAHA9,N,5,6.4,E,0.68,NM,Subcoriaceous,Capparaceae,no,
Capparis indica,6390,CAIN5,N,5,6.7,E,0.68,NM,Subcoriaceous,Capparaceae,no,
Carapa guianensis,6393,CAGU6,I,55,55,DE,0.53,No data,Coriaceous,Meliaceae,no,17696
Carica papaya,6395,CAPA23,I,6,7,E,No data,AM,Subcoriaceous,Caricaceae,no,23
Casearia aculeata,6402,CAAC3,N,9,9,E,0.66,AM,Subcoriaceous,Flacourtiaceae,no,23
Casearia arborea,6403,CAAR8,N,9,18.3,E,0.582,AM,Subcoriaceous,Flacourtiaceae,no,1.65
Casearia decandra,6406,CADE11,N,4.5,12.2,D,0.664,AM,Subcoriaceous,Flacourtiaceae,no,88.1
Casearia guianensis,6407,CAGU2,N,4.5,17.1,E,0.735,AM,Chartaceous,Flacourtiaceae,no,
Casearia sylvestris,6410,CASY2,N,4.5,25,E,0.679,AM,Subcoriaceous,Flacourtiaceae,no,3
Cassia fistula,6415,CAFI3,N,15,15,D,0.798,AM,Chartaceous,Fabaceae,no,666
Cassine xylocarpa,6425,CAXY,N,10,10,E,No data,AM,Coriaceous,Celastraceae,no,1973.456352
Cassipourea guianensis,6427,CAGU3,N,6,6,E,0.82,No data,Chartaceous,Rhizophoraceae,no,
Castilla elastica,6430,CAEL5,I,21,21,E,0.568,AM,Chartaceous,Moraceae,no,568.18
Casuarina equisetifolia,6434,CAEQ,I,30,30,E,0.809,EM,Coriaceous,Casuarinaceae,yes,4
Casuarina lepidophloia,857,CALE28,I,18,18,E,0.776,No data,Coriaceous,Casuarinaceae,yes,9.01
Cecropia schreberiana,6443,CESC9,N,21,29.6,E,0.289,AM,Subcoriaceous,Cecropiaceae,no,0.6
Cedrela odorata,6445,CEOD,N,30,30,D,0.447,No data,Chartaceous,Meliaceae,no,17
Ceiba pentandra,6449,CEPE2,N,24,24,D,0.305,AM,Chartaceous,Bombacaceae,no,59
Cestrum diurnum,6474,CEDI6,I,4.5,4.5,E,No data,AM,Subcoriaceous,Solanaceae,no,
Cestrum laurifolium,6475,CELA2,N,6,6.7,E,No data,AM,Subcoriaceous,Solanaceae,no,
Chionanthus compactus,6520,CHCO12,N,10.5,11.6,E,No data,No data,Subcoriaceous,Oleaceae,no,
Chionanthus domingensis,6521,CHDO4,N,18,18,E,0.865,No data,Subcoriaceous,Oleaceae,no,
Chrysobalanus icaco,6535,CHIC,N,3,7.6,E,0.753,AM,Coriaceous,Chrysobalanaceae,no,2114.8
