species.code,P,N,C,wsg,la,sla,h,seed
ALCFLO,0.133169139,4.7675,48.15,0.426666667,67.39318182,295.0036364,15.24,0.007
ALCLAT,0.083819177,2.106666667,47.835,0.401053169,183.6960667,191.8253333,15.24,0.0218636
ANDINE,0.125349301,2.93,50.48,0.65052,515.5046667,258.0611111,15.24,13.52
ARDGLA,0.24,1,51.3,0.56,225.79,58,6.096,0.16
BUCTET,0.06596528,2.122,45.14,0.637,25.264,271.868,24.384,0.932
BYRSPI,0.088549345,2.09,50.24,0.614315385,18.6514,237.992,18.288,0.2892
CASARB,0.05295314,2.826666667,49.83333333,0.575257951,22.09215385,218.1946154,9.144,0.000625
CASGUI,0.110564948,2.776666667,45.90333333,0.794430464,43.5835,171.005,9.144,0.006
CASSYL,0.126679321,3.69,46.77,0.713076448,64.61961111,152.9338889,4.572,0.00561
CECSCH,0.21881314,2.2409,45.59,0.262,1298.103625,184.775,21.336,7.00E-04
CHIDOM,0.031226837,1.733333333,43.86,0.865,83.5046,141.174,18.288,0.54
CHOVEN,0.072008951,2.19,46.78,0.626141453,18.336,155.554,4.572,0.31
CLIERO,0.182915,2.172,46.0158,0.342030667,112.61,270.405,6.096,0.38
CLUROS,0.124408842,1.456666667,48.89,0.664444444,107.95,18.82,18.288,0.0107692
COMGLA,0.108601525,2.565,47.725,0.760457334,16.9725,215.115,5.4864,0.232
CORBOR,0.058831254,2.2,44.27,0.7125,143.4795789,179.3478947,6.096,0.319
CORSUL,0.106730886,3.4725,43.519,0.608,557.82,97.64,19.812,0.0624
CROPOE,0.060042012,3.82,39.03,0.575484737,107.44925,150.6776471,12.192,0.0678571
CSSGUI,0.083916038,2.793333333,47.04,0.699500294,32.20033333,152.7811111,6.096,0.2065
DACEXC,0.059245607,1.383333333,41.43333333,0.532671429,590.3475,137.5942857,30.48,1.255
DENARB,0.234097366,3,46.8,0.425157754,80.62385714,293.76,12.192,0.0056
DRYGLA,0.066155,2.27375,46.1425,0.673057874,63.9421875,146.750625,9.144,0.3648148
EUGDOM,0.03496747,3.535,43.695,0.59,42.33057143,94.98285714,18.288,1.0606667
EUGSTA,0.032006629,1.206666667,47.96666667,0.689958077,51.41876923,96.99538462,18.288,35.24
FAROCC,0.054452626,1.756666667,42.05,0.595666667,64.52675,242.06,9.144,0.04
GONSPI,0.076585524,2.34,45.575,0.693723306,159.77,1304.21,5.4864,0.003
GUAGLA,0.141753971,2.42,49.1,0.4748375,323.8049231,176.2885714,7.62,0.05189
GUAGUI,0.144589283,2.87,48.6,0.591652174,770.72225,276.7375,22.86,0.2508
GUEVAL,0.039506104,1.282,48.7,0.604817072,85.476,91.96272727,19.812,0.16
GUTCAR,0.058383584,1.8,46.5,0.615334958,124.985,255.3425,7.62,0.1276
HIRRUG,0.073958766,1.28,39.275,0.871038351,18.94429412,117.1047059,6.096,0.09
HOMRAC,0.094423725,1.884,46.2,0.791666667,33.584625,248.28125,21.336,0.011
INGLAU,0.105545153,3.252857143,48.87142857,0.63,382.5096923,198.4128571,21.336,0.5233333
INGVER,0.167744587,4.875,50.7,0.578888889,481.0165,230.835,18.288,0.32
IXOFER,0.062584654,1.287666667,45.144,0.65,70.30775,144.185,6.096,0.026976
LAEPRO,0.07274951,2.3625,48.55,0.638806452,127.316375,386.27375,27.432,0.0057
MANBID,0.083,1.65,48.62,0.858227105,156.3425,100.825,30.48,0.594
MARNOB,0.101901481,3.06,45.97,0.5238,77.083,156.425,12.192,0.0145
MATDOM,0.046564296,1.9855,45.1055,0.694,14.0285,73.17,18.288,0.1609677
MELHER,0.097721765,2.214,46.77333333,0.45,239.705,167.365,18.288,0.102
MICPRA,0.0995,1.976666667,47.86666667,0.654700632,52.6274375,163.616875,7.62,0.00032
MICRAC,0.058462787,2.71,42.7,0.449723406,119.8705,206.74875,9.144,0.002
MICTET,0.077448863,1.99,45.22,0.706,109.3832941,132.4511765,15.24,0.00014
MIRCHR,0.027461298,1.454285714,46.36,0.7,43.7806,81.498,18.288,0.18
MIRGAR,0.032078849,1.84,45.98,0.7,32.21614286,57.67714286,15.24,0.3975
MYRDEF,0.044153872,1.555,46.145,0.8,79.82930769,130.6061538,9.144,0.052
MYRLEP,0.024293775,1.35,46.775,0.804132415,34.00414286,162.8071429,6.096,0.081
MYRSPL,0.057387086,1.345,43.75,0.7355404,37.45571429,646.395,9.144,0.06595
OCOLEU,0.095166109,2.27,43.86,0.461249785,168.48845,128.381,15.24,0.1772727
OCOSIN,0.121606004,1.865,47.74,0.580668551,147.3432727,140.7445455,18.288,0.1823333
ORMKRU,0.077490791,2.346333333,42.07,0.482857143,1251.8712,176.162,18.288,0.7405
OXALAU,0.073142114,1.775,44.805,0.588844574,108.624,213.63,9.144,0.6044444
PALRIP,0.07535877,2.96,44.8,0.466680365,85.02933333,273.3116667,4.572,0.01
