"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"1","Adelia ricinella",6026,"ADRI","N",9,13.1,"D","0.722","AM","No data","Euphorbiaceae","no",""
"2","Adenanthera pavonina",6028,"ADPA","I",12,19.8,"D","0.681","AM","No data","Fabaceae","yes","234"
"3","Albizia lebbeck",6059,"ALLE","I",12,16.8,"D","0.597","No data","Chartaceous","Fabaceae","yes","123"
"4","Albizia procera",6060,"ALPR","I",18,22.9,"D","0.579","AM","Chartaceous to Subcoriaceous","Fabaceae","yes","36"
"5","Alchornea latifolia",6064,"ALLA","N",15,22.3,"E","0.417","AM","Subcoriaceous","Euphorbiaceae","no","34"
"6","Alchorneopsis floribunda",6066,"ALFL3","N",15,15,"E","0.427","No data","Chartaceous","Euphorbiaceae","no",""
"7","Allophylus crassinervis",6080,"ALCR9","N",6.6,6.6,"E","No data","No data","Coriaceous","Sapindaceae","no",""
"8","Allophylus racemosus",6082,"ALRA","N",9,9,"D","No data","No data","Chartaceous","Sapindaceae","no","18.55"
"9","Alsophila portoricensis",6093,"ALPO7","N",6,8.5,"E","No data","AM + NM","No data","Cyatheaceae","no",""
"10","Amyris elemifera",852,"AMEL","N",6,8.5,"E","0.98","AM","Subcoriaceous","Rutaceae","no","63.1696"
"11","Anadenanthera peregrina",6111,"ANPE13","N",12,16.8,"D","0.883","No data","Chartaceous","Fabaceae","yes",""
"12","Andira inermis",6114,"ANIN","N",20,26.5,"D","0.621","EM","Chartaceous","Fabaceae","yes","792"
"13","Annona muricata",6128,"ANMU2","N",6,10.7,"E","0.36","AM","Subcoriaceous","Annonaceae","no","396"
"14","Annona reticulata",6129,"ANRE","I",7,8.8,"D","0.55","AM","Chartaceous","Annonaceae","no","194.7"
"15","Annona squamosa",6131,"ANSQ","N",6,6.1,"D","0.618","AM","Chartaceous","Annonaceae","no","267"
"16","Antirhea obtusifolia",6150,"ANOB2","N",15,15,"E","0.56","AM","Subcoriaceous","Rubiaceae","no",""
"17","Ardisia obovata",6164,"AROB2","N",15,15,"E","No data","AM","Coriaceous","Myrsinaceae","no",""
"18","Ardisia solanacea",6165,"ARSO","I",4.5,6.4,"E","0.62","No data","Coriaceous","Myrsinaceae","no",""
"19","Artocarpus altilis",6171,"ARAL7","I",25,25,"E","0.403","AM","Coriaceous","Moraceae","no","5898"
"20","Avicennia germinans",986,"AVGE","N",12,15.2,"E","0.756","AM","Coriaceous","Verbenaceae","no","10120"
"21","Bauhinia multinervia",6227,"BAMU3","I",15,15,"E","No data","AM","No data","Fabaceae","no","244.01"
