"","Code","WD","THK","LA.wp","SLA.wp","LP.mass","MAXHT","sprout","species","seed_mass"
"1","ADEPAV",0.60277991,152.4444444,1233.654518,150.8393019,0.638229929,6.5,0,"Adenanthera pavonina",234
"2","ADERIC",0.817326947,136.6666667,23.93057147,138.3520253,0.968180615,4,0,"Adelia ricinella",NA
"3","ALCLAT",0.430138969,179.302682,179.2952453,163.8239611,0.891781982,27,0.00403225806451613,"Alchornea latifolia",34
"4","ALLCRA",0.881489862,207.25,16.15970792,118.3069046,0.943896817,8,0.11,"Allophylus crassinervis",NA
"5","ALLRAC",0.686336981,204.2888889,235.0207448,242.4582029,0.903525848,8,0.0769230769230769,"Allophylus racemosus",18.55
"6","AMYELE",0.911156945,225.6262626,27.46144804,74.89156875,0.937483831,8,0.0361963190184049,"Amyris elemifera",63.1696
"7","ANDINE",0.738835596,161.9027778,385.2892141,189.8808778,0.846926364,28,0.0246913580246914,"Andira inermis",792
"8","ARDOBO",0.805142717,395.9377778,50.95726004,71.55747892,0.960774657,12,0.0222672064777328,"Ardisia obovata",NA
"9","ARTALT",0.44683506,288,713.6953333,196.8713333,0.960838234,16,0.125,"Artocarpus altilis",5898
"10","BOUVIR",0.804041863,290.5555556,10.83866897,80.43109454,0.965205998,15,0.0434782608695652,"Bourreria virgata",21.0532
"11","BUCBUC",0.935231475,247.9583333,10.99841035,91.6496375,0.944458315,25,0.0289855072463768,"Bucida buceras",38
"12","BURSIM",0.408846119,207.8647343,100.3336848,136.2139871,0.86919852,21,0.00371747211895911,"Bursera simaruba",117
"13","BYRSPI",0.676861271,164.2777778,20.99652813,218.7030325,0.963131113,28,0,"Byrsonima spicata",108
"14","BYRWAD",0.587397089,286.2777778,27.7614592,87.52933138,0.957881098,19,0,"Byrsonima wadsworthii",NA
"15","CALANT",0.669935491,283.9444444,73.44218385,133.6142177,0.949132422,35,0.00823723228995058,"Calophyllum antillanum",1000
"16","CANWIN",0.928565167,308.4222222,23.04160417,98.31495525,0.957647409,7,0,"Canella winterana",NA
