CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
809322615290487,72,1,2,480540207489998,1,197190629020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322616290487,72,2,2,480540207489998,1,197190629020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322617290487,72,3,2,480540207489998,1,197190629020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322618290487,72,4,2,480540207489998,1,197190629020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322619290487,72,1,1,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322620290487,72,2,1,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322621290487,72,3,1,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322622290487,72,4,1,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322623290487,72,1,2,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322624290487,72,2,2,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322625290487,72,3,2,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322626290487,72,4,2,480540208489998,1,197190641020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322627290487,72,1,1,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322628290487,72,2,1,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322629290487,72,3,1,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322630290487,72,4,1,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322631290487,72,1,2,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322632290487,72,2,2,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322633290487,72,3,2,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322634290487,72,4,2,480540209489998,1,197190645020004,1,1.0,FSJMCHAN,2020-12-09 08:26:41,290487,,,
809322635290487,72,1,1,480540210489998,1,197190660020004,1,0.9418,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322636290487,72,1,1,480540210489998,2,197190660020004,1,0.0582,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322637290487,72,2,1,480540210489998,1,197190660020004,1,0.8831,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322638290487,72,2,1,480540210489998,2,197190660020004,1,0.1169,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322639290487,72,3,1,480540210489998,2,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322640290487,72,4,1,480540210489998,1,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322641290487,72,1,2,480540210489998,1,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322642290487,72,2,2,480540210489998,1,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322643290487,72,3,2,480540210489998,2,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322644290487,72,4,2,480540210489998,1,197190660020004,1,1.0,FSJMCHAN,2020-12-09 08:26:45,290487,,,
809322645290487,72,1,1,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322646290487,72,2,1,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322647290487,72,3,1,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322648290487,72,4,1,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322649290487,72,1,2,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322650290487,72,2,2,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322651290487,72,3,2,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322652290487,72,4,2,480540211489998,1,197190710020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322653290487,72,1,1,480540212489998,1,197190583020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322654290487,72,2,1,480540212489998,1,197190583020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322655290487,72,3,1,480540212489998,2,197190583020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
